Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Prior_purchases,Product_importance,Gender,ArrivedLate
F,Ship,4,3,4,medium,F,No
F,Flight,3,4,4,low,F,No
D,Road,4,3,3,low,M,Yes
B,Ship,3,1,3,low,F,Yes
C,Ship,5,3,3,high,M,No
A,Flight,3,5,7,medium,M,Yes
A,Ship,4,3,5,low,F,Yes
B,Road,2,4,2,low,F,Yes
F,Ship,4,3,4,low,M,No
F,Ship,3,4,4,high,F,No
C,Flight,6,3,6,low,M,No
B,Ship,3,4,3,low,M,Yes
F,Ship,4,5,2,medium,F,Yes
B,Road,5,4,7,medium,F,Yes
F,Ship,3,2,4,medium,F,No
F,Ship,2,4,6,medium,F,No
B,Ship,4,1,3,low,M,Yes
F,Ship,6,4,4,low,M,Yes
A,Ship,4,1,3,high,M,No
B,Ship,2,4,3,low,F,Yes
B,Ship,3,3,3,medium,F,Yes
B,Ship,2,2,3,low,F,No
F,Ship,4,2,3,medium,F,Yes
A,Ship,4,5,3,low,F,No
D,Flight,4,5,2,medium,F,Yes
F,Ship,4,5,2,medium,M,No
F,Ship,3,5,6,low,M,No
A,Ship,4,5,5,medium,M,No
B,Road,4,2,4,low,F,Yes
F,Ship,4,5,3,medium,M,Yes
F,Ship,5,1,4,medium,M,No
A,Ship,4,2,3,medium,M,Yes
F,Road,2,4,5,low,F,Yes
D,Ship,3,5,2,medium,F,Yes
B,Ship,3,5,3,low,F,No
D,Ship,5,5,4,low,M,No
D,Ship,3,2,2,medium,F,Yes
B,Road,3,2,4,medium,F,Yes
B,Road,2,4,6,low,F,Yes
F,Ship,3,3,3,low,F,Yes
A,Ship,3,5,4,low,F,Yes
F,Ship,3,3,2,low,F,Yes
A,Ship,3,1,3,low,F,No
B,Ship,3,2,2,medium,F,No
F,Flight,4,1,4,medium,F,Yes
C,Ship,5,4,3,low,F,Yes
B,Ship,5,5,5,low,M,No
D,Ship,5,4,2,medium,M,Yes
A,Ship,3,3,5,low,F,No
A,Ship,6,3,4,medium,F,No
F,Ship,4,2,3,low,M,Yes
D,Ship,4,3,3,medium,F,Yes
A,Flight,5,5,4,low,M,Yes
C,Ship,5,5,6,low,F,Yes
F,Road,3,5,3,medium,F,No
C,Flight,3,5,3,low,F,Yes
D,Ship,5,4,5,low,F,Yes
A,Road,4,4,3,low,F,Yes
A,Road,6,3,3,medium,F,Yes
F,Flight,6,1,4,low,F,Yes
C,Road,6,1,4,low,F,No
B,Ship,3,2,3,low,F,No
C,Flight,5,4,2,low,M,Yes
A,Road,4,1,3,low,F,No
A,Ship,4,1,3,medium,F,Yes
