cd_000,ch_000,ef_000,AirPressureSystemFailure
1209600.0,0.0,0.0,neg
1209600.0,,0.0,neg
1209600.0,0.0,,neg
1209600.0,,,neg
,,0.0,neg
,0.0,0.0,neg
,,,neg
,0.0,,pos
1209600.0,0.0,2.0,neg
1209600.0,0.0,252.0,neg
1209600.0,,10.0,neg
1209600.0,0.0,6.0,neg
1209600.0,0.0,4.0,neg
1209600.0,,6.0,neg
1209600.0,0.0,8.0,neg
1209600.0,,2.0,neg
1209600.0,0.0,82.0,neg
1209600.0,0.0,20.0,pos
1209600.0,0.0,10.0,neg
1209600.0,0.0,18.0,neg
1209600.0,0.0,26.0,pos
1209600.0,0.0,12.0,neg
1209600.0,0.0,14.0,neg
1209600.0,,4.0,neg
1209600.0,0.0,482.0,neg
,0.0,350.0,neg
1209600.0,0.0,84.0,neg
1209600.0,2.0,0.0,neg
1209600.0,0.0,166.0,neg
1209600.0,0.0,320.0,neg
,,2.0,neg
1209600.0,0.0,22.0,neg
1209600.0,0.0,236.0,neg
1209600.0,,22.0,neg
1209600.0,,84.0,neg
,0.0,2.0,neg
1209600.0,0.0,276.0,neg
1209600.0,,20.0,pos
1209600.0,,8.0,neg
1209600.0,0.0,134.0,neg
1209600.0,0.0,28.0,neg
1209600.0,0.0,144.0,neg
1209600.0,0.0,350.0,neg
1209600.0,0.0,86.0,pos
1209600.0,,166.0,neg
1209600.0,,362.0,pos
1209600.0,0.0,340.0,neg
1209600.0,0.0,74.0,neg
1209600.0,,12.0,neg
1209600.0,0.0,30.0,neg
1209600.0,0.0,40.0,neg
1209600.0,,14.0,neg
