SEX,EDUCATION,MARRIAGE,PAY_5,DefaultOnPaymentNextMonth
2,2,2,-1,No
1,2,2,0,Yes
2,3,2,0,No
2,1,1,-1,Yes
1,1,2,-2,Yes
2,1,2,-1,No
1,3,1,-2,No
2,2,2,0,Yes
2,2,2,2,Yes
1,1,2,0,No
2,1,2,0,No
1,1,2,-1,No
1,2,1,-1,No
1,2,1,0,No
2,2,2,-2,No
1,2,2,-1,No
2,2,1,2,Yes
2,1,2,-2,No
2,3,1,0,No
2,1,1,-2,No
2,2,1,0,Yes
1,3,1,2,Yes
1,1,2,2,No
1,2,2,-2,No
1,1,1,-1,No
2,2,1,-2,Yes
2,2,1,-1,No
2,3,1,2,Yes
1,3,2,-1,No
1,3,1,0,No
1,3,2,0,No
2,3,1,-1,No
1,1,1,-2,No
2,3,1,3,No
2,5,2,0,No
1,1,1,0,No
1,2,2,3,Yes
2,1,1,0,No
1,2,1,2,Yes
2,3,2,-1,No
2,5,1,0,Yes
1,2,1,-2,No
2,1,2,2,No
1,2,2,7,Yes
1,4,3,-2,No
1,1,1,2,Yes
2,1,3,-2,No
1,3,1,4,Yes
1,2,2,2,Yes
1,2,1,7,Yes
1,2,1,3,Yes
1,3,1,-1,No
1,3,2,-2,No
2,1,1,2,Yes
1,2,3,0,No
1,3,2,2,No
2,3,3,-1,No
2,3,1,-2,No
2,3,2,-2,Yes
2,3,2,7,Yes
2,5,3,0,No
2,4,2,-1,No
1,5,2,0,No
1,2,2,4,Yes
2,3,3,0,Yes
1,3,1,5,Yes
2,1,1,4,Yes
1,5,1,-1,No
2,2,2,4,Yes
2,4,2,0,No
1,6,1,0,Yes
2,6,2,-2,No
2,2,2,3,No
2,1,0,0,No
2,0,2,-1,No
2,2,1,3,No
1,5,1,0,No
2,5,1,-1,No
1,3,3,0,No
1,1,3,0,No
2,1,0,-1,No
2,2,3,0,No
2,3,2,2,Yes
1,3,2,3,No
2,2,3,-1,No
1,6,2,0,No
2,1,3,-1,No
2,3,1,4,No
1,5,1,-2,No
2,2,0,0,No
1,2,1,6,No
1,3,3,2,Yes
2,6,1,0,No
2,1,1,7,No
2,1,2,4,Yes
2,4,1,-1,No
1,5,2,-2,No
2,2,3,2,Yes
2,2,2,7,Yes
1,1,3,-1,No
2,4,2,-2,No
2,5,1,-2,No
2,3,3,-2,Yes
2,4,1,-2,No
2,1,3,0,No
1,6,2,-2,No
1,1,1,3,No
1,2,1,4,Yes
2,5,2,-2,No
1,5,2,2,No
2,1,2,3,Yes
1,4,1,-1,No
2,3,0,-2,No
1,1,2,3,Yes
2,6,2,-1,No
2,1,2,7,Yes
1,6,2,-1,No
2,2,1,7,No
1,2,3,-1,No
1,4,2,0,No
2,5,2,-1,No
2,2,3,-2,No
1,0,2,-2,No
1,6,1,-2,Yes
1,3,2,7,Yes
1,1,3,2,No
1,3,3,-1,No
1,1,1,4,Yes
1,4,1,0,Yes
2,3,0,-1,No
2,6,2,0,No
1,1,3,-2,Yes
2,4,1,0,No
1,3,0,0,No
2,3,3,2,Yes
1,0,2,-1,No
2,2,1,4,Yes
2,1,1,3,No
2,3,0,0,Yes
2,3,2,4,Yes
1,3,1,3,No
2,6,1,-1,No
2,3,0,2,No
1,3,0,-2,No
1,4,2,-2,Yes
1,5,2,-1,No
1,3,1,7,Yes
1,6,1,-1,No
1,3,3,-2,Yes
1,2,2,6,Yes
1,1,2,7,No
1,2,3,-2,No
1,4,2,-1,No
1,5,3,0,No
1,2,3,2,Yes
2,2,1,5,Yes
1,1,0,0,No
1,3,2,4,Yes
2,3,2,3,No
1,3,0,2,No
2,3,1,5,No
2,4,3,0,No
2,3,2,5,Yes
2,2,0,-2,Yes
2,2,3,7,Yes
2,4,1,2,No
1,2,0,-2,No
1,3,0,-1,No
1,3,0,3,No
2,3,1,7,Yes
2,0,1,-2,No
2,1,2,5,No
1,0,1,-2,No
1,3,2,5,Yes
1,2,2,5,No
2,6,3,0,No
2,0,1,0,No
1,1,1,5,Yes
2,2,2,5,Yes
1,0,1,0,No
1,0,2,0,No
1,1,2,4,No
1,1,3,3,Yes
2,5,1,2,No
1,1,1,8,Yes
2,6,3,-1,No
1,3,2,6,Yes
