SpecialDay,OperatingSystems,Region,VisitorType,Weekend,Revenue
0.0,2,1,Returning_Visitor,False,False
0.0,2,3,Returning_Visitor,False,True
0.0,3,3,Returning_Visitor,False,False
0.0,1,1,Returning_Visitor,False,False
0.0,4,4,Returning_Visitor,False,False
0.0,3,4,Returning_Visitor,True,False
0.0,1,1,Returning_Visitor,True,False
1.0,2,4,Returning_Visitor,True,False
0.0,3,1,Returning_Visitor,True,False
0.8,2,3,Returning_Visitor,False,False
0.0,4,1,Returning_Visitor,False,False
0.0,2,8,Returning_Visitor,False,False
0.0,3,2,Returning_Visitor,False,False
0.0,2,4,Returning_Visitor,True,False
0.0,2,2,Returning_Visitor,False,False
0.6,4,1,Returning_Visitor,False,False
0.0,2,8,New_Visitor,False,False
0.0,1,9,Returning_Visitor,False,False
0.0,3,1,Returning_Visitor,False,False
0.0,2,9,Returning_Visitor,False,False
0.0,4,1,Returning_Visitor,True,False
0.0,2,6,Returning_Visitor,False,False
0.0,1,3,Returning_Visitor,False,False
0.0,2,4,Returning_Visitor,False,True
0.0,2,9,New_Visitor,True,False
0.0,2,3,New_Visitor,False,False
0.0,2,1,Returning_Visitor,True,False
0.4,3,1,Returning_Visitor,False,False
0.0,8,9,Other,False,True
0.6,2,1,Returning_Visitor,False,False
0.0,1,1,New_Visitor,False,False
0.8,2,4,Returning_Visitor,False,False
0.0,1,6,Returning_Visitor,False,False
0.0,2,7,Returning_Visitor,False,False
0.0,2,5,New_Visitor,False,False
0.8,2,1,Returning_Visitor,False,False
0.0,3,5,Returning_Visitor,False,False
0.0,8,9,Returning_Visitor,False,False
0.4,2,1,Returning_Visitor,False,False
0.0,2,5,Returning_Visitor,False,False
0.2,2,1,Returning_Visitor,False,False
0.0,2,3,Returning_Visitor,True,False
0.2,1,1,Returning_Visitor,False,False
0.2,3,1,Returning_Visitor,False,False
0.6,2,6,Returning_Visitor,False,False
0.0,2,5,Returning_Visitor,True,False
0.0,1,3,New_Visitor,True,True
0.6,2,8,Returning_Visitor,False,False
0.0,1,6,Returning_Visitor,True,False
0.4,1,7,Returning_Visitor,False,False
0.0,2,2,New_Visitor,False,False
0.0,3,1,New_Visitor,False,False
0.0,2,1,New_Visitor,False,False
0.6,1,4,Returning_Visitor,False,False
0.0,1,3,Returning_Visitor,True,False
0.0,3,6,Returning_Visitor,True,False
0.0,1,7,Returning_Visitor,True,False
0.4,3,3,Returning_Visitor,False,False
0.0,1,6,New_Visitor,False,False
0.2,3,6,Returning_Visitor,False,False
0.0,2,2,Returning_Visitor,True,True
1.0,3,1,Returning_Visitor,True,False
0.0,3,4,Returning_Visitor,False,False
0.8,1,2,Returning_Visitor,False,False
0.0,3,9,Returning_Visitor,False,False
0.8,3,8,Returning_Visitor,False,True
0.0,4,8,Returning_Visitor,False,False
0.0,1,2,Returning_Visitor,False,False
0.0,6,1,Returning_Visitor,False,False
0.0,3,3,Returning_Visitor,True,False
0.0,4,3,Returning_Visitor,True,False
0.0,3,4,New_Visitor,True,True
0.0,3,7,New_Visitor,False,False
0.0,4,2,Returning_Visitor,False,False
0.0,2,8,Returning_Visitor,True,False
0.0,1,8,Returning_Visitor,False,False
0.0,3,3,New_Visitor,False,False
0.0,1,1,New_Visitor,True,True
0.8,3,6,Returning_Visitor,False,False
0.0,1,4,Returning_Visitor,False,False
0.0,4,3,Returning_Visitor,False,True
0.6,1,2,New_Visitor,False,False
0.0,1,5,Returning_Visitor,True,False
0.0,2,9,Returning_Visitor,True,True
0.0,2,7,New_Visitor,True,False
0.6,3,1,Returning_Visitor,False,False
