,SpecialDay,OperatingSystems,Region,VisitorType,Revenue False,Revenue True
0,0.0,1,1,New_Visitor,False,True
1,0.0,1,1,Other,False,False
2,0.0,1,1,Returning_Visitor,False,False
3,0.0,1,2,New_Visitor,False,True
4,0.0,1,2,Returning_Visitor,False,False
5,0.0,1,3,New_Visitor,True,True
6,0.0,1,3,Other,False,
7,0.0,1,3,Returning_Visitor,False,False
8,0.0,1,4,New_Visitor,False,False
9,0.0,1,4,Other,False,
10,0.0,1,4,Returning_Visitor,False,False
11,0.0,1,5,New_Visitor,False,
12,0.0,1,5,Returning_Visitor,False,False
13,0.0,1,6,New_Visitor,False,True
14,0.0,1,6,Returning_Visitor,False,False
15,0.0,1,7,New_Visitor,False,False
16,0.0,1,7,Other,False,
17,0.0,1,7,Returning_Visitor,False,False
18,0.0,1,8,New_Visitor,True,False
19,0.0,1,8,Returning_Visitor,False,False
20,0.0,1,9,New_Visitor,False,False
21,0.0,1,9,Returning_Visitor,False,False
22,0.0,2,1,New_Visitor,False,False
23,0.0,2,1,Other,False,
24,0.0,2,1,Returning_Visitor,False,False
25,0.0,2,2,New_Visitor,False,False
26,0.0,2,2,Other,True,
27,0.0,2,2,Returning_Visitor,False,True
28,0.0,2,3,New_Visitor,False,False
29,0.0,2,3,Other,False,False
30,0.0,2,3,Returning_Visitor,True,False
31,0.0,2,4,New_Visitor,False,False
32,0.0,2,4,Other,False,False
33,0.0,2,4,Returning_Visitor,True,False
34,0.0,2,5,New_Visitor,False,False
35,0.0,2,5,Returning_Visitor,False,False
36,0.0,2,6,New_Visitor,False,True
37,0.0,2,6,Other,False,
38,0.0,2,6,Returning_Visitor,False,False
39,0.0,2,7,New_Visitor,False,False
40,0.0,2,7,Returning_Visitor,False,False
41,0.0,2,8,New_Visitor,False,False
42,0.0,2,8,Returning_Visitor,False,False
43,0.0,2,9,New_Visitor,False,False
44,0.0,2,9,Other,True,
45,0.0,2,9,Returning_Visitor,False,True
46,0.0,3,1,New_Visitor,False,False
47,0.0,3,1,Other,False,False
48,0.0,3,1,Returning_Visitor,False,False
49,0.0,3,2,New_Visitor,False,False
50,0.0,3,2,Other,False,
51,0.0,3,2,Returning_Visitor,False,False
52,0.0,3,3,New_Visitor,False,True
53,0.0,3,3,Other,False,
54,0.0,3,3,Returning_Visitor,False,False
55,0.0,3,4,New_Visitor,False,True
56,0.0,3,4,Other,False,
57,0.0,3,4,Returning_Visitor,False,False
58,0.0,3,5,New_Visitor,False,False
59,0.0,3,5,Returning_Visitor,False,False
60,0.0,3,6,New_Visitor,False,False
61,0.0,3,6,Returning_Visitor,False,False
62,0.0,3,7,New_Visitor,False,False
63,0.0,3,7,Other,False,
64,0.0,3,7,Returning_Visitor,False,False
65,0.0,3,8,New_Visitor,False,False
66,0.0,3,8,Other,False,
67,0.0,3,8,Returning_Visitor,False,False
68,0.0,3,9,New_Visitor,False,False
69,0.0,3,9,Returning_Visitor,False,False
70,0.0,4,1,New_Visitor,True,True
71,0.0,4,1,Returning_Visitor,False,False
72,0.0,4,2,New_Visitor,False,False
73,0.0,4,2,Returning_Visitor,False,False
74,0.0,4,3,New_Visitor,False,False
75,0.0,4,3,Returning_Visitor,True,False
76,0.0,4,4,New_Visitor,False,False
77,0.0,4,4,Returning_Visitor,False,False
78,0.0,4,5,Returning_Visitor,False,False
79,0.0,4,6,New_Visitor,True,True
80,0.0,4,6,Returning_Visitor,False,False
81,0.0,4,7,New_Visitor,,True
82,0.0,4,7,Returning_Visitor,False,False
83,0.0,4,8,New_Visitor,False,
84,0.0,4,8,Returning_Visitor,False,False
85,0.0,4,9,New_Visitor,False,
86,0.0,4,9,Returning_Visitor,False,False
87,0.0,5,1,Returning_Visitor,False,
88,0.0,5,4,Returning_Visitor,False,False
89,0.0,5,8,Returning_Visitor,False,
90,0.0,6,1,Returning_Visitor,False,
91,0.0,6,2,Returning_Visitor,False,
92,0.0,6,3,Returning_Visitor,False,
93,0.0,6,4,Returning_Visitor,False,False
94,0.0,6,9,Returning_Visitor,False,
95,0.0,7,1,New_Visitor,,False
96,0.0,7,1,Returning_Visitor,False,
97,0.0,7,2,Returning_Visitor,,True
98,0.0,7,6,Returning_Visitor,,False
99,0.0,8,1,New_Visitor,True,False
100,0.0,8,1,Returning_Visitor,False,False
101,0.0,8,2,New_Visitor,False,
102,0.0,8,3,New_Visitor,True,
103,0.0,8,3,Returning_Visitor,False,False
104,0.0,8,4,Returning_Visitor,False,False
105,0.0,8,5,Returning_Visitor,,False
106,0.0,8,6,Returning_Visitor,False,
107,0.0,8,7,New_Visitor,True,
108,0.0,8,7,Returning_Visitor,False,
109,0.0,8,9,New_Visitor,False,False
110,0.0,8,9,Other,True,False
111,0.0,8,9,Returning_Visitor,False,
112,0.2,1,1,Returning_Visitor,False,
113,0.2,1,2,Returning_Visitor,False,
114,0.2,1,3,Returning_Visitor,False,
115,0.2,1,4,Returning_Visitor,False,
116,0.2,1,6,Returning_Visitor,False,
117,0.2,1,8,Returning_Visitor,False,
118,0.2,2,1,New_Visitor,True,
119,0.2,2,1,Returning_Visitor,False,
120,0.2,2,2,New_Visitor,True,
121,0.2,2,2,Returning_Visitor,False,
122,0.2,2,3,New_Visitor,True,
123,0.2,2,3,Returning_Visitor,False,
124,0.2,2,4,New_Visitor,False,
125,0.2,2,4,Returning_Visitor,False,
126,0.2,2,5,Returning_Visitor,False,
127,0.2,2,6,Returning_Visitor,False,
128,0.2,2,7,Returning_Visitor,False,
129,0.2,2,8,Returning_Visitor,True,
130,0.2,2,9,New_Visitor,True,
131,0.2,3,1,Returning_Visitor,False,
132,0.2,3,2,Returning_Visitor,False,
133,0.2,3,3,Returning_Visitor,False,
134,0.2,3,4,Returning_Visitor,False,
135,0.2,3,6,Returning_Visitor,False,
136,0.2,3,8,Returning_Visitor,False,
137,0.2,4,1,Returning_Visitor,False,
138,0.2,4,3,Returning_Visitor,False,
139,0.4,1,1,New_Visitor,True,
140,0.4,1,1,Returning_Visitor,False,
141,0.4,1,2,Returning_Visitor,False,
142,0.4,1,3,Returning_Visitor,False,
143,0.4,1,4,Returning_Visitor,False,
144,0.4,1,5,New_Visitor,False,
145,0.4,1,6,Returning_Visitor,False,
146,0.4,1,7,Returning_Visitor,False,
147,0.4,1,8,Returning_Visitor,False,
148,0.4,2,1,New_Visitor,False,
149,0.4,2,1,Returning_Visitor,False,
150,0.4,2,2,Returning_Visitor,False,
151,0.4,2,3,New_Visitor,False,
152,0.4,2,3,Returning_Visitor,False,
153,0.4,2,4,New_Visitor,False,
154,0.4,2,4,Returning_Visitor,False,
155,0.4,2,5,New_Visitor,True,
156,0.4,2,5,Returning_Visitor,False,
157,0.4,2,6,Returning_Visitor,False,
158,0.4,2,7,Returning_Visitor,False,
159,0.4,2,8,New_Visitor,True,
160,0.4,2,8,Returning_Visitor,False,
161,0.4,2,9,New_Visitor,False,
162,0.4,2,9,Returning_Visitor,False,
163,0.4,3,1,Returning_Visitor,False,
164,0.4,3,2,Returning_Visitor,False,
165,0.4,3,3,Returning_Visitor,False,
166,0.4,3,4,Returning_Visitor,False,
167,0.4,3,5,Returning_Visitor,False,
168,0.4,3,6,Returning_Visitor,True,
169,0.4,3,7,Returning_Visitor,False,
170,0.4,3,8,Returning_Visitor,False,
171,0.4,4,1,Returning_Visitor,False,
172,0.4,4,2,New_Visitor,True,
173,0.4,4,2,Returning_Visitor,False,
174,0.4,4,3,Returning_Visitor,False,
175,0.4,4,4,Returning_Visitor,False,
176,0.4,4,9,Returning_Visitor,False,
177,0.4,7,6,Returning_Visitor,False,
178,0.6,1,1,New_Visitor,False,
179,0.6,1,1,Returning_Visitor,False,
180,0.6,1,2,New_Visitor,False,
181,0.6,1,2,Returning_Visitor,False,
182,0.6,1,3,New_Visitor,False,
183,0.6,1,3,Returning_Visitor,False,
184,0.6,1,4,Returning_Visitor,False,
185,0.6,1,5,Returning_Visitor,False,
186,0.6,1,6,Returning_Visitor,False,
187,0.6,1,7,New_Visitor,False,
188,0.6,1,7,Returning_Visitor,False,
189,0.6,1,8,Returning_Visitor,False,
190,0.6,2,1,New_Visitor,False,
191,0.6,2,1,Returning_Visitor,False,
192,0.6,2,2,New_Visitor,True,
193,0.6,2,2,Returning_Visitor,False,
194,0.6,2,3,New_Visitor,False,
195,0.6,2,3,Returning_Visitor,False,
196,0.6,2,4,New_Visitor,False,
197,0.6,2,4,Returning_Visitor,False,
198,0.6,2,5,Returning_Visitor,False,
199,0.6,2,6,New_Visitor,False,
200,0.6,2,6,Returning_Visitor,False,
201,0.6,2,7,Returning_Visitor,False,
202,0.6,2,8,Returning_Visitor,False,
203,0.6,2,9,Returning_Visitor,False,
204,0.6,3,1,Returning_Visitor,False,
205,0.6,3,2,New_Visitor,False,
206,0.6,3,2,Returning_Visitor,False,
207,0.6,3,3,New_Visitor,False,
208,0.6,3,3,Returning_Visitor,False,
209,0.6,3,4,Returning_Visitor,False,
210,0.6,3,5,Returning_Visitor,False,
211,0.6,3,6,Returning_Visitor,False,
212,0.6,3,7,New_Visitor,False,
213,0.6,3,7,Returning_Visitor,False,
214,0.6,3,8,Returning_Visitor,False,
215,0.6,3,9,Returning_Visitor,False,
216,0.6,4,1,Returning_Visitor,False,
217,0.6,4,3,New_Visitor,True,
218,0.6,4,3,Returning_Visitor,False,
219,0.6,4,4,Returning_Visitor,False,
220,0.6,4,8,Returning_Visitor,False,
221,0.6,6,9,New_Visitor,True,
222,0.6,8,1,Returning_Visitor,False,
223,0.8,1,1,Returning_Visitor,False,False
224,0.8,1,2,Returning_Visitor,False,False
225,0.8,1,3,Returning_Visitor,True,
226,0.8,1,4,Returning_Visitor,False,
227,0.8,1,6,Returning_Visitor,False,
228,0.8,1,7,Returning_Visitor,False,
229,0.8,1,8,New_Visitor,False,
230,0.8,1,9,Returning_Visitor,False,
231,0.8,2,1,New_Visitor,False,
232,0.8,2,1,Returning_Visitor,False,
233,0.8,2,2,New_Visitor,False,
234,0.8,2,2,Returning_Visitor,False,False
235,0.8,2,3,New_Visitor,False,
236,0.8,2,3,Returning_Visitor,False,
237,0.8,2,4,Returning_Visitor,False,
238,0.8,2,5,Returning_Visitor,False,
239,0.8,2,6,Returning_Visitor,False,
240,0.8,2,7,Returning_Visitor,False,
241,0.8,2,8,Returning_Visitor,False,
242,0.8,2,9,New_Visitor,True,
243,0.8,2,9,Returning_Visitor,False,
244,0.8,3,1,Returning_Visitor,False,False
245,0.8,3,2,New_Visitor,False,
246,0.8,3,2,Returning_Visitor,False,
247,0.8,3,3,Returning_Visitor,False,
248,0.8,3,4,Returning_Visitor,False,
249,0.8,3,5,Returning_Visitor,False,
250,0.8,3,6,Returning_Visitor,False,
251,0.8,3,7,Returning_Visitor,False,False
252,0.8,3,8,Returning_Visitor,True,
253,0.8,4,1,Returning_Visitor,False,
254,0.8,4,3,Returning_Visitor,False,
255,0.8,4,4,Returning_Visitor,False,
256,0.8,4,9,Returning_Visitor,False,
257,0.8,6,2,Returning_Visitor,False,
258,0.8,7,3,Returning_Visitor,False,
259,1.0,1,1,New_Visitor,,True
260,1.0,1,1,Returning_Visitor,,False
261,1.0,1,2,Returning_Visitor,,False
262,1.0,1,3,Returning_Visitor,,False
263,1.0,1,4,Returning_Visitor,,False
264,1.0,1,7,Returning_Visitor,,False
265,1.0,1,9,Returning_Visitor,,False
266,1.0,2,1,New_Visitor,,False
267,1.0,2,1,Returning_Visitor,,False
268,1.0,2,2,Returning_Visitor,,False
269,1.0,2,3,Returning_Visitor,,False
270,1.0,2,4,Returning_Visitor,,False
271,1.0,2,5,Returning_Visitor,,False
272,1.0,2,6,New_Visitor,,False
273,1.0,2,6,Returning_Visitor,,False
274,1.0,2,7,Returning_Visitor,,False
275,1.0,2,8,Returning_Visitor,,False
276,1.0,2,9,Returning_Visitor,,True
277,1.0,3,1,Returning_Visitor,,False
278,1.0,3,2,Returning_Visitor,,False
279,1.0,3,3,New_Visitor,,False
280,1.0,3,3,Returning_Visitor,,False
281,1.0,3,4,Returning_Visitor,,False
282,1.0,3,5,Returning_Visitor,,False
283,1.0,3,6,Returning_Visitor,,False
284,1.0,3,7,Returning_Visitor,,False
285,1.0,3,8,Returning_Visitor,,False
286,1.0,4,1,Returning_Visitor,,False
287,1.0,4,2,Returning_Visitor,,False
288,1.0,6,3,New_Visitor,,False
289,1.0,6,3,Returning_Visitor,,False
