,EDUCATION,MARRIAGE,PAY_5,DefaultOnPaymentNextMonth 1,DefaultOnPaymentNextMonth 2
0,0,1,-2,No,No
1,0,1,0,No,No
2,0,2,-2,No,
3,0,2,-1,No,No
4,0,2,0,No,
5,1,0,-1,,No
6,1,0,0,No,No
7,1,1,-2,No,No
8,1,1,-1,No,Yes
9,1,1,0,No,No
10,1,1,2,Yes,Yes
11,1,1,3,No,No
12,1,1,4,Yes,Yes
13,1,1,5,Yes,
14,1,1,7,,No
15,1,1,8,Yes,
16,1,2,-2,Yes,No
17,1,2,-1,No,No
18,1,2,0,No,No
19,1,2,2,No,No
20,1,2,3,Yes,Yes
21,1,2,4,No,Yes
22,1,2,5,,No
23,1,2,7,No,Yes
24,1,3,-2,Yes,No
25,1,3,-1,No,No
26,1,3,0,No,No
27,1,3,2,No,
28,1,3,3,Yes,
29,2,0,-2,No,Yes
30,2,0,0,,No
31,2,1,-2,No,Yes
32,2,1,-1,No,No
33,2,1,0,No,Yes
34,2,1,2,Yes,Yes
35,2,1,3,Yes,No
36,2,1,4,Yes,Yes
37,2,1,5,,Yes
38,2,1,6,No,
39,2,1,7,Yes,No
40,2,2,-2,No,No
41,2,2,-1,No,No
42,2,2,0,Yes,Yes
43,2,2,2,Yes,Yes
44,2,2,3,Yes,No
45,2,2,4,Yes,Yes
46,2,2,5,No,Yes
47,2,2,6,Yes,
48,2,2,7,Yes,Yes
49,2,3,-2,No,No
50,2,3,-1,No,No
51,2,3,0,No,No
52,2,3,2,Yes,Yes
53,2,3,7,,Yes
54,3,0,-2,No,No
55,3,0,-1,No,No
56,3,0,0,No,Yes
57,3,0,2,No,No
58,3,0,3,No,
59,3,1,-2,No,No
60,3,1,-1,No,No
61,3,1,0,No,No
62,3,1,2,Yes,Yes
63,3,1,3,No,No
64,3,1,4,Yes,No
65,3,1,5,Yes,No
66,3,1,7,Yes,Yes
67,3,2,-2,No,Yes
68,3,2,-1,No,No
69,3,2,0,No,No
70,3,2,2,No,Yes
71,3,2,3,No,No
72,3,2,4,Yes,Yes
73,3,2,5,Yes,Yes
74,3,2,6,Yes,
75,3,2,7,Yes,Yes
76,3,3,-2,Yes,Yes
77,3,3,-1,No,No
78,3,3,0,No,Yes
79,3,3,2,Yes,Yes
80,4,1,-2,,No
81,4,1,-1,No,No
82,4,1,0,Yes,No
83,4,1,2,,No
84,4,2,-2,Yes,No
85,4,2,-1,No,No
86,4,2,0,No,No
87,4,3,-2,No,
88,4,3,0,,No
89,5,1,-2,No,No
90,5,1,-1,No,No
91,5,1,0,No,Yes
92,5,1,2,,No
93,5,2,-2,No,No
94,5,2,-1,No,No
95,5,2,0,No,No
96,5,2,2,No,
97,5,3,0,No,No
98,6,1,-2,Yes,
99,6,1,-1,No,No
100,6,1,0,Yes,No
101,6,2,-2,No,No
102,6,2,-1,No,No
103,6,2,0,No,No
104,6,3,-1,,No
105,6,3,0,,No
