,country,tenure,products_number,credit_card,active_member,churn Female,churn Male
0,France,0,1,0,0,Yes,No
1,France,0,1,0,1,No,No
2,France,0,1,1,0,Yes,No
3,France,0,1,1,1,No,No
4,France,0,2,0,0,No,No
5,France,0,2,0,1,No,No
6,France,0,2,1,0,No,Yes
7,France,0,2,1,1,No,No
8,France,0,3,0,0,Yes,
9,France,0,3,0,1,Yes,
10,France,0,3,1,0,Yes,
11,France,1,1,0,0,No,No
12,France,1,1,0,1,No,No
13,France,1,1,1,0,Yes,No
14,France,1,1,1,1,Yes,No
15,France,1,2,0,0,No,No
16,France,1,2,0,1,No,No
17,France,1,2,1,0,No,No
18,France,1,2,1,1,No,No
19,France,1,3,0,0,Yes,Yes
20,France,1,3,0,1,Yes,No
21,France,1,3,1,0,,Yes
22,France,1,3,1,1,,No
23,France,1,4,1,0,Yes,
24,France,2,1,0,0,No,No
25,France,2,1,0,1,No,No
26,France,2,1,1,0,No,Yes
27,France,2,1,1,1,No,No
28,France,2,2,0,0,No,No
29,France,2,2,0,1,No,No
30,France,2,2,1,0,No,No
31,France,2,2,1,1,Yes,No
32,France,2,3,0,0,Yes,Yes
33,France,2,3,0,1,,No
34,France,2,3,1,0,Yes,Yes
35,France,2,3,1,1,Yes,No
36,France,2,4,0,0,Yes,
37,France,2,4,0,1,Yes,Yes
38,France,2,4,1,0,Yes,
39,France,2,4,1,1,Yes,
40,France,3,1,0,0,No,Yes
41,France,3,1,0,1,Yes,No
42,France,3,1,1,0,No,No
43,France,3,1,1,1,No,No
44,France,3,2,0,0,No,No
45,France,3,2,0,1,No,No
46,France,3,2,1,0,No,No
47,France,3,2,1,1,No,No
48,France,3,3,0,0,Yes,
49,France,3,3,1,0,Yes,
50,France,3,3,1,1,No,Yes
51,France,3,4,0,1,Yes,Yes
52,France,3,4,1,1,,Yes
53,France,4,1,0,0,Yes,No
54,France,4,1,0,1,Yes,No
55,France,4,1,1,0,No,No
56,France,4,1,1,1,Yes,No
57,France,4,2,0,0,No,No
58,France,4,2,0,1,No,Yes
59,France,4,2,1,0,No,No
60,France,4,2,1,1,No,No
61,France,4,3,0,0,Yes,
62,France,4,3,1,0,Yes,No
63,France,4,3,1,1,Yes,No
64,France,4,4,0,0,,Yes
65,France,5,1,0,0,Yes,No
66,France,5,1,0,1,No,Yes
67,France,5,1,1,0,Yes,No
68,France,5,1,1,1,No,No
69,France,5,2,0,0,No,No
70,France,5,2,0,1,No,No
71,France,5,2,1,0,No,No
72,France,5,2,1,1,No,No
73,France,5,3,0,0,,No
74,France,5,3,1,0,Yes,Yes
75,France,5,3,1,1,Yes,Yes
76,France,5,4,0,0,,Yes
77,France,5,4,0,1,Yes,
78,France,6,1,0,0,No,No
79,France,6,1,0,1,No,No
80,France,6,1,1,0,No,Yes
81,France,6,1,1,1,Yes,No
82,France,6,2,0,0,No,No
83,France,6,2,0,1,No,No
84,France,6,2,1,0,No,No
85,France,6,2,1,1,No,No
86,France,6,3,0,0,Yes,Yes
87,France,6,3,0,1,Yes,
88,France,6,3,1,0,,Yes
89,France,6,3,1,1,Yes,
90,France,6,4,1,0,Yes,
91,France,7,1,0,0,No,No
92,France,7,1,0,1,No,No
93,France,7,1,1,0,No,Yes
94,France,7,1,1,1,No,No
95,France,7,2,0,0,No,No
96,France,7,2,0,1,No,No
97,France,7,2,1,0,No,No
98,France,7,2,1,1,No,No
99,France,7,3,0,0,Yes,
100,France,7,3,0,1,Yes,
101,France,7,3,1,0,Yes,Yes
102,France,7,3,1,1,No,Yes
103,France,7,4,0,0,,Yes
104,France,7,4,0,1,Yes,
105,France,8,1,0,0,No,No
106,France,8,1,0,1,No,Yes
107,France,8,1,1,0,No,No
108,France,8,1,1,1,No,No
109,France,8,2,0,0,No,No
110,France,8,2,0,1,No,No
111,France,8,2,1,0,No,No
112,France,8,2,1,1,No,No
113,France,8,3,0,0,Yes,No
114,France,8,3,0,1,Yes,
115,France,8,3,1,0,Yes,Yes
116,France,8,3,1,1,,Yes
117,France,8,4,0,1,Yes,
118,France,9,1,0,0,Yes,No
119,France,9,1,0,1,No,No
120,France,9,1,1,0,Yes,Yes
121,France,9,1,1,1,No,No
122,France,9,2,0,0,Yes,No
123,France,9,2,0,1,No,No
124,France,9,2,1,0,No,No
125,France,9,2,1,1,No,No
126,France,9,3,0,0,,Yes
127,France,9,3,1,0,Yes,Yes
128,France,9,3,1,1,Yes,No
129,France,9,4,0,0,,Yes
130,France,9,4,1,0,Yes,Yes
131,France,9,4,1,1,Yes,Yes
132,France,10,1,0,0,No,No
133,France,10,1,0,1,No,Yes
134,France,10,1,1,0,Yes,No
135,France,10,1,1,1,No,No
136,France,10,2,0,0,No,No
137,France,10,2,0,1,No,No
138,France,10,2,1,0,No,No
139,France,10,2,1,1,No,No
140,France,10,3,0,1,Yes,
141,France,10,3,1,0,No,Yes
142,France,10,3,1,1,,Yes
143,France,10,4,1,0,Yes,
144,France,10,4,1,1,Yes,
145,Germany,0,1,0,0,Yes,Yes
146,Germany,0,1,0,1,Yes,No
147,Germany,0,1,1,0,Yes,Yes
148,Germany,0,1,1,1,No,No
149,Germany,0,2,0,0,No,No
150,Germany,0,2,0,1,No,Yes
151,Germany,0,2,1,0,No,No
152,Germany,0,2,1,1,No,No
153,Germany,0,3,0,0,Yes,
154,Germany,0,3,1,0,,Yes
155,Germany,1,1,0,0,Yes,No
156,Germany,1,1,0,1,Yes,No
157,Germany,1,1,1,0,No,No
158,Germany,1,1,1,1,No,Yes
159,Germany,1,2,0,0,No,No
160,Germany,1,2,0,1,No,No
161,Germany,1,2,1,0,No,Yes
162,Germany,1,2,1,1,No,No
