,education,having_children_flg,region,family_status,phone_operator,is_client,bad_client_target female,bad_client_target male
0,Higher education,0,0,Another,0,0,No,No
1,Higher education,0,0,Another,0,1,No,No
2,Higher education,0,0,Another,1,0,No,No
3,Higher education,0,0,Another,1,1,No,No
4,Higher education,0,0,Another,2,0,No,No
5,Higher education,0,0,Another,2,1,No,No
6,Higher education,0,0,Another,3,0,No,No
7,Higher education,0,0,Another,3,1,,No
8,Higher education,0,0,Married,0,0,,No
9,Higher education,0,0,Married,0,1,No,No
10,Higher education,0,0,Married,1,0,No,No
11,Higher education,0,0,Married,1,1,No,No
12,Higher education,0,0,Married,2,0,,No
13,Higher education,0,0,Married,2,1,No,
14,Higher education,0,0,Married,3,0,,No
15,Higher education,0,0,Married,3,1,,No
16,Higher education,0,0,Unmarried,0,1,,No
17,Higher education,0,0,Unmarried,1,0,No,No
18,Higher education,0,0,Unmarried,1,1,No,No
19,Higher education,0,1,Another,0,0,,No
20,Higher education,0,1,Another,0,1,No,No
21,Higher education,0,1,Another,1,0,No,No
22,Higher education,0,1,Another,1,1,No,No
23,Higher education,0,1,Another,3,1,,Yes
24,Higher education,0,1,Married,0,0,No,No
25,Higher education,0,1,Married,1,0,No,
26,Higher education,0,1,Married,2,0,No,No
27,Higher education,0,1,Married,2,1,No,
28,Higher education,0,1,Unmarried,0,0,,No
29,Higher education,0,2,Another,0,0,No,No
30,Higher education,0,2,Another,0,1,No,No
31,Higher education,0,2,Another,1,0,No,No
32,Higher education,0,2,Another,1,1,No,No
33,Higher education,0,2,Another,2,0,Yes,No
34,Higher education,0,2,Another,2,1,Yes,Yes
35,Higher education,0,2,Another,3,0,No,No
36,Higher education,0,2,Another,3,1,No,No
37,Higher education,0,2,Another,4,1,No,No
38,Higher education,0,2,Married,0,0,No,No
39,Higher education,0,2,Married,0,1,No,No
40,Higher education,0,2,Married,1,0,No,No
41,Higher education,0,2,Married,1,1,No,Yes
42,Higher education,0,2,Married,2,0,,Yes
43,Higher education,0,2,Married,2,1,No,No
44,Higher education,0,2,Married,3,0,,No
45,Higher education,0,2,Married,3,1,No,No
46,Higher education,0,2,Married,4,1,No,
47,Higher education,0,2,Unmarried,0,0,Yes,No
48,Higher education,0,2,Unmarried,0,1,,No
49,Higher education,0,2,Unmarried,1,0,,No
50,Higher education,0,2,Unmarried,3,0,,No
51,Higher education,0,2,Unmarried,3,1,Yes,
52,Higher education,1,0,Another,0,0,No,No
53,Higher education,1,0,Another,0,1,No,No
54,Higher education,1,0,Another,1,0,No,No
55,Higher education,1,0,Another,1,1,No,No
56,Higher education,1,0,Another,2,0,No,No
57,Higher education,1,0,Another,2,1,,No
58,Higher education,1,0,Another,3,0,,No
59,Higher education,1,0,Another,3,1,No,No
60,Higher education,1,0,Another,4,0,No,
61,Higher education,1,0,Married,1,0,,No
62,Higher education,1,0,Married,1,1,,No
63,Higher education,1,0,Married,2,1,Yes,
64,Higher education,1,0,Married,3,0,,Yes
65,Higher education,1,0,Married,3,1,No,
66,Higher education,1,1,Another,0,1,No,
67,Higher education,1,1,Another,1,0,No,
68,Higher education,1,1,Another,1,1,,No
69,Higher education,1,1,Another,3,0,,No
70,Higher education,1,1,Married,0,0,,No
71,Higher education,1,1,Married,1,1,No,
72,Higher education,1,1,Unmarried,0,1,,No
73,Higher education,1,2,Another,0,0,No,No
74,Higher education,1,2,Another,0,1,No,Yes
75,Higher education,1,2,Another,1,0,No,No
76,Higher education,1,2,Another,1,1,No,No
77,Higher education,1,2,Another,2,0,No,No
78,Higher education,1,2,Another,2,1,No,No
79,Higher education,1,2,Another,3,0,No,No
80,Higher education,1,2,Another,3,1,No,No
81,Higher education,1,2,Another,4,1,No,
82,Higher education,1,2,Married,0,0,No,No
83,Higher education,1,2,Married,0,1,No,No
84,Higher education,1,2,Married,1,0,No,No
85,Higher education,1,2,Married,1,1,,No
86,Higher education,1,2,Married,2,0,,Yes
87,Higher education,1,2,Married,2,1,No,No
88,Higher education,1,2,Married,3,0,,No
89,Higher education,1,2,Married,3,1,No,No
90,Higher education,1,2,Unmarried,0,1,No,No
91,Higher education,1,2,Unmarried,1,0,,No
92,Higher education,1,2,Unmarried,1,1,,No
93,Higher education,1,2,Unmarried,2,0,No,No
94,Higher education,1,2,Unmarried,3,0,No,No
95,Incomplete higher education,0,0,Another,0,0,,No
96,Incomplete higher education,0,0,Another,0,1,Yes,
97,Incomplete higher education,0,0,Another,1,0,No,No
98,Incomplete higher education,0,0,Another,1,1,,No
99,Incomplete higher education,0,0,Another,3,1,No,No
100,Incomplete higher education,0,0,Married,0,0,No,
101,Incomplete higher education,0,0,Married,0,1,No,No
102,Incomplete higher education,0,0,Married,1,1,,No
103,Incomplete higher education,0,0,Married,2,1,No,
104,Incomplete higher education,0,1,Another,1,1,No,
105,Incomplete higher education,0,1,Another,2,1,No,
106,Incomplete higher education,0,1,Married,1,0,,No
107,Incomplete higher education,0,1,Married,1,1,No,
108,Incomplete higher education,0,2,Another,0,1,No,No
109,Incomplete higher education,0,2,Another,1,0,No,No
110,Incomplete higher education,0,2,Another,1,1,No,No
111,Incomplete higher education,0,2,Another,2,0,,No
112,Incomplete higher education,0,2,Another,2,1,No,No
113,Incomplete higher education,0,2,Another,3,0,,No
114,Incomplete higher education,0,2,Another,3,1,No,
115,Incomplete higher education,0,2,Married,0,1,No,No
116,Incomplete higher education,0,2,Married,1,0,,Yes
