,cd_000,ef_000,AirPressureSystemFailure 0.0,AirPressureSystemFailure 2.0
0,,,pos,
1,,0.0,neg,
2,,2.0,neg,
3,,350.0,neg,
4,1209600.0,,neg,
5,1209600.0,0.0,neg,neg
6,1209600.0,2.0,neg,
7,1209600.0,4.0,neg,
8,1209600.0,6.0,neg,
9,1209600.0,8.0,neg,
10,1209600.0,10.0,neg,
11,1209600.0,12.0,neg,
12,1209600.0,14.0,neg,
13,1209600.0,18.0,neg,
14,1209600.0,20.0,pos,
15,1209600.0,22.0,neg,
16,1209600.0,26.0,pos,
17,1209600.0,28.0,neg,
18,1209600.0,30.0,neg,
19,1209600.0,40.0,neg,
20,1209600.0,74.0,neg,
21,1209600.0,82.0,neg,
22,1209600.0,84.0,neg,
23,1209600.0,86.0,pos,
24,1209600.0,134.0,neg,
25,1209600.0,144.0,neg,
26,1209600.0,166.0,neg,
27,1209600.0,236.0,neg,
28,1209600.0,252.0,neg,
29,1209600.0,276.0,neg,
30,1209600.0,320.0,neg,
31,1209600.0,340.0,neg,
32,1209600.0,350.0,neg,
33,1209600.0,482.0,neg,
