,gender,enrolled_university,education_level,company_type,last_new_job,LookingForJobChange Has relevent experience,LookingForJobChange No relevent experience
0,,,,,,No,No
1,,,,,1,Yes,No
2,,,,,2,No,No
3,,,,,3,No,
4,,,,,>4,No,No
5,,,,,never,No,No
6,,,,Early Stage Startup,1,Yes,
7,,,,Funded Startup,3,No,
8,,,,NGO,1,,Yes
9,,,,Public Sector,>4,No,
10,,,,Pvt Ltd,never,,No
11,,,Graduate,,,Yes,Yes
12,,,Graduate,,1,No,No
13,,,Graduate,,2,Yes,
14,,,Graduate,,3,No,Yes
15,,,Graduate,,>4,Yes,
16,,,Graduate,,never,No,Yes
17,,,Graduate,Early Stage Startup,1,No,
18,,,Graduate,Funded Startup,1,No,
19,,,Graduate,NGO,1,No,
20,,,Graduate,Public Sector,>4,No,
21,,,Graduate,Public Sector,never,Yes,
22,,,Graduate,Pvt Ltd,,Yes,Yes
23,,,Graduate,Pvt Ltd,1,Yes,No
24,,,Graduate,Pvt Ltd,2,No,Yes
25,,,Graduate,Pvt Ltd,3,No,No
26,,,Graduate,Pvt Ltd,4,No,
27,,,Graduate,Pvt Ltd,>4,No,
28,,,Graduate,Pvt Ltd,never,No,Yes
29,,,High School,,,,No
30,,,High School,,1,,Yes
31,,,High School,,3,No,
32,,,High School,,never,Yes,No
33,,,High School,Early Stage Startup,1,,No
34,,,High School,Public Sector,2,,No
35,,,High School,Pvt Ltd,never,,Yes
36,,,Masters,,,No,
37,,,Masters,,1,Yes,No
38,,,Masters,,3,Yes,No
39,,,Masters,,4,No,
40,,,Masters,,never,No,No
41,,,Masters,Early Stage Startup,2,Yes,
42,,,Masters,Funded Startup,1,No,
43,,,Masters,NGO,2,Yes,
44,,,Masters,Pvt Ltd,1,Yes,No
45,,,Masters,Pvt Ltd,>4,No,No
46,,,Masters,Pvt Ltd,never,No,
47,,,Phd,,1,No,
48,,,Phd,Pvt Ltd,never,No,
49,,,Primary School,,,,No
50,,,Primary School,,never,,No
51,,Full time course,,,,No,No
52,,Full time course,,,1,No,Yes
53,,Full time course,,,3,No,
54,,Full time course,,,4,,No
55,,Full time course,,,>4,Yes,
56,,Full time course,,,never,,No
57,,Full time course,,Early Stage Startup,1,No,Yes
58,,Full time course,,Early Stage Startup,>4,Yes,
59,,Full time course,,Early Stage Startup,never,No,No
60,,Full time course,,NGO,never,Yes,
61,,Full time course,,Other,,No,
62,,Full time course,,Public Sector,1,No,Yes
63,,Full time course,,Public Sector,>4,Yes,
64,,Full time course,,Public Sector,never,No,
65,,Full time course,,Pvt Ltd,1,No,
