,weather,temperature,gender,has_children,toCoupon_GEQ15min,toCoupon_GEQ25min,direction_same,direction_opp,AcceptCoupon 1d,AcceptCoupon 2h
0,Rainy,55,Female,0,0,0,0,1,Yes,Yes
1,Rainy,55,Female,0,0,0,1,0,No,Yes
2,Rainy,55,Female,0,1,0,0,1,No,Yes
3,Rainy,55,Female,0,1,0,1,0,,Yes
4,Rainy,55,Female,0,1,1,0,1,No,No
5,Rainy,55,Female,1,0,0,0,1,Yes,Yes
6,Rainy,55,Female,1,0,0,1,0,Yes,Yes
7,Rainy,55,Female,1,1,0,0,1,Yes,No
8,Rainy,55,Female,1,1,0,1,0,,No
9,Rainy,55,Female,1,1,1,0,1,No,Yes
10,Rainy,55,Male,0,0,0,0,1,Yes,No
11,Rainy,55,Male,0,0,0,1,0,No,No
12,Rainy,55,Male,0,1,0,0,1,Yes,Yes
13,Rainy,55,Male,0,1,0,1,0,,Yes
14,Rainy,55,Male,0,1,1,0,1,Yes,Yes
15,Rainy,55,Male,1,0,0,0,1,Yes,Yes
16,Rainy,55,Male,1,0,0,1,0,Yes,No
17,Rainy,55,Male,1,1,0,0,1,No,Yes
18,Rainy,55,Male,1,1,0,1,0,,Yes
19,Rainy,55,Male,1,1,1,0,1,Yes,No
20,Snowy,30,Female,0,0,0,0,1,Yes,No
21,Snowy,30,Female,0,0,0,1,0,Yes,
22,Snowy,30,Female,0,1,0,0,1,Yes,No
23,Snowy,30,Female,0,1,0,1,0,No,
24,Snowy,30,Female,0,1,1,0,1,No,No
25,Snowy,30,Female,1,0,0,0,1,No,No
26,Snowy,30,Female,1,0,0,1,0,Yes,
27,Snowy,30,Female,1,1,0,0,1,Yes,No
28,Snowy,30,Female,1,1,0,1,0,No,
29,Snowy,30,Female,1,1,1,0,1,No,No
30,Snowy,30,Male,0,0,0,0,1,Yes,No
31,Snowy,30,Male,0,0,0,1,0,Yes,
32,Snowy,30,Male,0,1,0,0,1,Yes,Yes
33,Snowy,30,Male,0,1,0,1,0,No,
34,Snowy,30,Male,0,1,1,0,1,No,No
35,Snowy,30,Male,1,0,0,0,1,No,No
36,Snowy,30,Male,1,0,0,1,0,No,
37,Snowy,30,Male,1,1,0,0,1,No,No
38,Snowy,30,Male,1,1,0,1,0,No,
39,Snowy,30,Male,1,1,1,0,1,No,Yes
40,Sunny,30,Female,0,0,0,0,1,Yes,Yes
41,Sunny,30,Female,0,0,0,1,0,No,
42,Sunny,30,Female,0,1,0,0,1,Yes,No
43,Sunny,30,Female,0,1,0,1,0,No,Yes
44,Sunny,30,Female,0,1,1,0,1,Yes,
45,Sunny,30,Female,1,0,0,0,1,Yes,No
46,Sunny,30,Female,1,0,0,1,0,No,
47,Sunny,30,Female,1,1,0,0,1,Yes,Yes
48,Sunny,30,Female,1,1,0,1,0,No,Yes
49,Sunny,30,Female,1,1,1,0,1,Yes,No
50,Sunny,30,Male,0,0,0,0,1,No,Yes
51,Sunny,30,Male,0,0,0,1,0,Yes,
52,Sunny,30,Male,0,1,0,0,1,Yes,
53,Sunny,30,Male,0,1,0,1,0,No,Yes
54,Sunny,30,Male,0,1,1,0,1,Yes,Yes
55,Sunny,30,Male,1,0,0,0,1,No,No
56,Sunny,30,Male,1,0,0,1,0,Yes,
57,Sunny,30,Male,1,1,0,0,1,No,Yes
58,Sunny,30,Male,1,1,0,1,0,Yes,Yes
59,Sunny,30,Male,1,1,1,0,1,Yes,No
60,Sunny,55,Female,0,0,0,0,1,Yes,No
61,Sunny,55,Female,0,0,0,1,0,Yes,
62,Sunny,55,Female,0,1,0,0,1,No,No
63,Sunny,55,Female,0,1,0,1,0,Yes,No
64,Sunny,55,Female,0,1,1,0,1,Yes,No
65,Sunny,55,Female,1,0,0,0,1,Yes,Yes
66,Sunny,55,Female,1,0,0,1,0,No,
67,Sunny,55,Female,1,1,0,0,1,Yes,No
68,Sunny,55,Female,1,1,0,1,0,No,No
69,Sunny,55,Female,1,1,1,0,1,No,No
70,Sunny,55,Male,0,0,0,0,1,Yes,No
71,Sunny,55,Male,0,0,0,1,0,Yes,
72,Sunny,55,Male,0,1,0,0,1,Yes,Yes
73,Sunny,55,Male,0,1,0,1,0,Yes,No
74,Sunny,55,Male,0,1,1,0,1,Yes,No
75,Sunny,55,Male,1,0,0,0,1,No,No
76,Sunny,55,Male,1,0,0,1,0,No,
77,Sunny,55,Male,1,1,0,0,1,Yes,No
78,Sunny,55,Male,1,1,0,1,0,No,No
79,Sunny,55,Male,1,1,1,0,1,No,No
80,Sunny,80,Female,0,0,0,0,1,Yes,Yes
81,Sunny,80,Female,0,0,0,1,0,No,Yes
82,Sunny,80,Female,0,1,0,0,1,Yes,Yes
83,Sunny,80,Female,0,1,0,1,0,No,Yes
84,Sunny,80,Female,0,1,1,0,1,Yes,No
85,Sunny,80,Female,1,0,0,0,1,No,Yes
86,Sunny,80,Female,1,0,0,1,0,No,No
87,Sunny,80,Female,1,1,0,0,1,Yes,Yes
88,Sunny,80,Female,1,1,0,1,0,No,Yes
89,Sunny,80,Female,1,1,1,0,1,Yes,Yes
90,Sunny,80,Male,0,0,0,0,1,Yes,No
91,Sunny,80,Male,0,0,0,1,0,Yes,Yes
92,Sunny,80,Male,0,1,0,0,1,Yes,No
93,Sunny,80,Male,0,1,0,1,0,No,Yes
94,Sunny,80,Male,0,1,1,0,1,No,No
95,Sunny,80,Male,1,0,0,0,1,Yes,Yes
96,Sunny,80,Male,1,0,0,1,0,Yes,Yes
97,Sunny,80,Male,1,1,0,0,1,Yes,Yes
98,Sunny,80,Male,1,1,0,1,0,Yes,No
99,Sunny,80,Male,1,1,1,0,1,Yes,No
