,molecule_structure_property_535,molecule_structure_property_536,molecule_structure_property_537,molecule_structure_property_538,molecule_structure_property_539,molecule_structure_property_540,molecule_structure_property_541,molecule_structure_property_1617,CompoundActivity 0,CompoundActivity 1
0,0,0,0,0,0,0,0,0,CM,CI
1,0,0,0,0,0,0,0,1,CI,CI
2,0,0,0,0,0,0,1,0,CI,CI
3,0,0,0,0,0,0,1,1,CI,
4,0,0,0,0,0,1,0,0,CI,CI
5,0,0,0,0,0,1,0,1,CM,CI
6,0,0,0,0,0,1,1,0,CI,CI
7,0,0,0,0,1,0,0,0,CI,
8,0,0,0,1,0,0,0,0,CI,CI
9,0,0,0,1,0,0,0,1,CA,
10,0,0,0,1,0,0,1,0,CI,CI
11,0,0,0,1,0,1,0,0,CI,CI
12,0,0,0,1,1,0,0,0,CI,
13,0,0,1,0,0,0,0,0,CI,
14,0,0,1,0,0,0,1,0,CM,CI
15,0,0,1,0,0,1,1,0,CI,CI
16,0,0,1,0,0,1,1,1,CI,
17,0,0,1,1,0,0,1,0,CI,
18,0,1,0,0,0,0,0,0,CI,CI
19,0,1,0,0,0,0,0,1,CI,
20,0,1,0,0,0,1,0,0,CI,
21,0,1,1,0,0,0,0,0,CI,
22,0,1,1,0,0,0,1,0,CI,
23,1,0,0,0,0,0,0,0,CI,CI
24,1,0,0,0,0,0,0,1,CI,CI
25,1,0,0,0,0,0,1,0,CI,CI
26,1,0,0,0,0,1,0,0,CI,CI
27,1,0,0,0,0,1,0,1,CI,CI
28,1,0,0,0,0,1,1,0,CI,CI
29,1,0,0,0,0,1,1,1,CI,
30,1,0,0,1,0,0,0,0,CI,
31,1,0,0,1,0,0,0,1,CI,
32,1,0,0,1,0,0,1,0,CI,
33,1,0,0,1,1,0,0,0,CI,
34,1,0,1,0,0,0,1,0,CM,CI
35,1,0,1,0,0,1,1,0,CI,
36,1,1,0,0,0,0,0,0,CI,CI
37,1,1,0,0,0,0,0,1,CI,
38,1,1,0,0,0,0,1,0,CI,CI
39,1,1,0,0,0,1,0,0,CM,
40,1,1,0,0,0,1,0,1,CI,
41,1,1,0,1,0,0,0,0,CI,
