,fixed_acidity,citric_acid,median_wine_quality red,median_wine_quality white
0,3.8,0.02,,6.0
1,3.9,0.4,,8.0
2,4.2,0.23,,3.0
3,4.2,0.36,,7.0
4,4.4,0.09,,7.0
5,4.4,0.1,,6.0
6,4.4,0.39,,8.0
7,4.5,0.21,,5.0
8,4.6,0.0,,5.0
9,4.6,0.15,4.0,
10,4.7,0.0,,6.0
11,4.7,0.09,,5.0
12,4.7,0.14,,5.0
13,4.7,0.17,6.0,
14,4.7,0.18,,7.0
15,4.7,0.29,,6.0
16,4.8,0.0,,6.0
17,4.8,0.12,,4.0
18,4.8,0.21,,7.0
19,4.8,0.23,,6.0
20,4.8,0.28,,7.0
21,4.8,0.32,,7.0
22,4.8,0.38,,6.0
23,4.9,0.0,7.0,
24,4.9,0.14,,5.0
25,4.9,0.17,,6.0
26,4.9,0.27,,6.0
27,4.9,0.31,,8.0
28,4.9,0.34,,5.0
29,5.0,0.0,6.0,6.0
30,5.0,0.01,6.0,
31,5.0,0.04,4.0,6.0
32,5.0,0.12,,5.0
33,5.0,0.14,,8.0
34,5.0,0.16,,6.0
35,5.0,0.18,,7.0
36,5.0,0.19,,5.0
37,5.0,0.21,,6.0
38,5.0,0.22,,6.0
39,5.0,0.23,,6.0
40,5.0,0.24,5.0,
41,5.0,0.25,,6.0
42,5.0,0.27,,6.0
43,5.0,0.32,,7.0
44,5.0,0.33,,7.0
45,5.0,0.34,,7.0
46,5.0,0.4,,6.0
47,5.0,0.5,6.0,
48,5.0,0.54,,8.0
49,5.0,0.56,,7.0
50,5.1,0.0,7.0,
51,5.1,0.01,,7.0
52,5.1,0.02,6.0,
53,5.1,0.06,,5.0
54,5.1,0.13,,5.0
55,5.1,0.18,7.0,5.0
56,5.1,0.21,,6.0
57,5.1,0.22,,7.0
58,5.1,0.25,,6.0
59,5.1,0.26,,6.0
60,5.1,0.27,,7.0
61,5.1,0.28,,5.0
62,5.1,0.3,,6.0
63,5.1,0.32,,6.0
64,5.1,0.33,,7.0
65,5.1,0.34,,6.0
66,5.1,0.36,,7.0
67,5.2,0.0,6.0,
68,5.2,0.02,,6.0
69,5.2,0.04,7.0,8.0
70,5.2,0.07,,5.0
71,5.2,0.08,,6.0
72,5.2,0.15,,6.0
73,5.2,0.18,,7.0
74,5.2,0.2,,6.0
75,5.2,0.22,,6.0
76,5.2,0.23,,5.0
77,5.2,0.25,5.0,
78,5.2,0.26,6.0,6.0
79,5.2,0.27,,7.0
80,5.2,0.29,,6.0
81,5.2,0.31,,7.0
82,5.2,0.33,,6.0
83,5.2,0.34,,8.0
84,5.2,0.36,,7.0
85,5.2,0.37,,6.0
86,5.2,0.45,,8.0
87,5.2,0.46,,5.0
88,5.3,0.01,7.0,
89,5.3,0.03,,5.0
90,5.3,0.07,,5.0
91,5.3,0.1,,4.0
92,5.3,0.11,7.0,4.0
93,5.3,0.12,,6.0
94,5.3,0.16,,8.0
95,5.3,0.19,5.0,
96,5.3,0.2,,4.0
97,5.3,0.23,,6.0
98,5.3,0.24,,5.0
99,5.3,0.25,,7.0
100,5.3,0.27,,6.0
101,5.3,0.29,,5.0
102,5.3,0.3,,6.0
103,5.3,0.31,,6.0
104,5.3,0.33,,8.0
105,5.3,0.34,,6.0
106,5.3,0.38,,6.0
107,5.3,0.39,,6.0
108,5.3,0.56,,5.0
109,5.4,0.0,6.0,
110,5.4,0.07,,6.0
111,5.4,0.08,6.0,
112,5.4,0.09,6.0,
113,5.4,0.1,,5.0
114,5.4,0.13,,7.0
115,5.4,0.15,,8.0
116,5.4,0.16,,6.0
117,5.4,0.18,,5.0
118,5.4,0.19,,6.0
119,5.4,0.22,,6.0
120,5.4,0.24,,6.0
121,5.4,0.27,7.0,8.0
122,5.4,0.28,,6.0
123,5.4,0.29,,7.0
124,5.4,0.3,,7.0
125,5.4,0.31,,7.0
126,5.4,0.32,,6.0
127,5.4,0.33,,6.0
128,5.4,0.35,,7.0
129,5.4,0.36,,7.0
130,5.4,0.38,,6.0
131,5.4,0.4,,5.0
132,5.4,0.47,,5.0
133,5.5,0.0,,4.0
134,5.5,0.03,8.0,
135,5.5,0.09,,7.0
136,5.5,0.13,,5.0
137,5.5,0.19,,6.0
138,5.5,0.21,,5.0
139,5.5,0.22,,6.0
140,5.5,0.23,,5.0
141,5.5,0.25,,6.0
142,5.5,0.26,,8.0
143,5.5,0.27,,5.0
144,5.5,0.29,,6.0
145,5.5,0.3,,6.0
146,5.5,0.31,,6.0
147,5.5,0.32,,5.0
148,5.5,0.33,,5.0
149,5.5,0.35,,6.0
150,5.5,0.38,,6.0
151,5.5,0.45,,5.0
152,5.6,0.0,5.0,6.0
153,5.6,0.03,4.0,
154,5.6,0.04,5.0,
155,5.6,0.05,5.0,5.0
156,5.6,0.06,,5.0
157,5.6,0.09,5.0,
158,5.6,0.1,,5.0
159,5.6,0.13,,7.0
160,5.6,0.14,,5.0
161,5.6,0.16,,6.0
162,5.6,0.18,,6.0
163,5.6,0.19,,6.0
164,5.6,0.2,,5.0
165,5.6,0.22,,5.0
166,5.6,0.24,,7.0
167,5.6,0.25,,6.0
168,5.6,0.26,,5.0
169,5.6,0.27,,6.0
170,5.6,0.28,,7.0
171,5.6,0.29,,4.0
172,5.6,0.3,,7.0
173,5.6,0.31,,6.0
174,5.6,0.32,,6.0
175,5.6,0.33,,8.0
176,5.6,0.34,,7.0
177,5.6,0.36,,6.0
178,5.6,0.37,5.0,5.0
179,5.6,0.39,,6.0
180,5.6,0.4,,8.0
181,5.6,0.46,,6.0
182,5.6,0.47,,6.0
183,5.6,0.49,,6.0
184,5.6,0.5,,6.0
185,5.6,0.57,,7.0
186,5.6,0.58,,7.0
187,5.6,0.66,,7.0
188,5.6,0.78,6.0,
189,5.7,0.0,6.0,
190,5.7,0.04,,6.0
191,5.7,0.06,,5.0
192,5.7,0.09,4.0,
193,5.7,0.13,,6.0
194,5.7,0.15,,5.0
195,5.7,0.16,,6.0
196,5.7,0.18,,6.0
197,5.7,0.2,,6.0
198,5.7,0.21,,6.0
199,5.7,0.22,,6.0
200,5.7,0.24,,6.0
201,5.7,0.25,,6.0
202,5.7,0.26,,6.0
203,5.7,0.27,,5.0
204,5.7,0.28,,6.0
205,5.7,0.29,,6.0
206,5.7,0.3,,7.0
207,5.7,0.32,,6.0
208,5.7,0.33,,6.0
209,5.7,0.34,,5.0
210,5.7,0.35,,6.0
211,5.7,0.36,,7.0
212,5.7,0.37,,6.0
213,5.7,0.38,,7.0
214,5.7,0.42,,5.0
215,5.7,0.46,,5.0
216,5.7,0.47,,8.0
217,5.7,0.5,,6.0
218,5.7,0.65,,5.0
219,5.8,0.0,,5.0
220,5.8,0.01,,7.0
221,5.8,0.02,5.0,
222,5.8,0.05,,5.0
223,5.8,0.09,,5.0
224,5.8,0.11,6.0,
225,5.8,0.12,,6.0
226,5.8,0.13,,5.0
227,5.8,0.14,,5.0
228,5.8,0.15,,6.0
229,5.8,0.16,,7.0
230,5.8,0.18,,7.0
231,5.8,0.19,,6.0
232,5.8,0.2,,5.0
233,5.8,0.21,,6.0
234,5.8,0.22,,6.0
235,5.8,0.23,,5.0
236,5.8,0.24,,5.0
237,5.8,0.25,,6.0
238,5.8,0.26,6.0,5.0
239,5.8,0.27,,6.0
240,5.8,0.28,,5.0
241,5.8,0.29,,7.0
242,5.8,0.3,,4.0
243,5.8,0.31,,7.0
244,5.8,0.32,,8.0
245,5.8,0.33,,6.0
246,5.8,0.34,,7.0
247,5.8,0.35,,4.0
248,5.8,0.36,,7.0
249,5.8,0.37,,6.0
250,5.8,0.38,,6.0
251,5.8,0.39,,6.0
252,5.8,0.4,,6.0
253,5.8,0.42,,6.0
254,5.8,0.44,,3.0
255,5.8,0.47,,6.0
256,5.8,0.49,,7.0
257,5.8,0.5,,5.0
258,5.8,0.66,6.0,5.0
259,5.9,0.0,6.0,5.0
260,5.9,0.02,,5.0
261,5.9,0.04,,5.0
262,5.9,0.05,,6.0
263,5.9,0.08,6.0,
264,5.9,0.1,6.0,5.0
265,5.9,0.12,5.0,6.0
266,5.9,0.13,6.0,5.0
267,5.9,0.14,,6.0
268,5.9,0.16,,5.0
269,5.9,0.18,,5.0
270,5.9,0.19,,5.0
271,5.9,0.2,,6.0
272,5.9,0.21,5.0,5.0
273,5.9,0.22,,7.0
274,5.9,0.23,,6.0
275,5.9,0.24,,7.0
276,5.9,0.25,6.0,6.0
277,5.9,0.26,,6.0
