,TypeofTravel,Class,Seatcomfort,DepartureArrivaltimeconvenient,Foodanddrink,Gatelocation,Baggagehandling,satisfaction Loyal Customer,satisfaction disloyal Customer
0,Business travel,Business,0,0,0,1,1,satisfied,
1,Business travel,Business,0,0,0,1,2,satisfied,satisfied
2,Business travel,Business,0,0,0,1,3,satisfied,satisfied
3,Business travel,Business,0,0,0,1,4,satisfied,satisfied
4,Business travel,Business,0,0,0,1,5,satisfied,satisfied
5,Business travel,Business,0,0,0,2,1,satisfied,
6,Business travel,Business,0,0,0,2,2,satisfied,
7,Business travel,Business,0,0,0,2,3,satisfied,satisfied
8,Business travel,Business,0,0,0,2,4,satisfied,satisfied
9,Business travel,Business,0,0,0,2,5,satisfied,satisfied
10,Business travel,Business,0,0,0,3,1,satisfied,
11,Business travel,Business,0,0,0,3,2,satisfied,satisfied
12,Business travel,Business,0,0,0,3,3,satisfied,satisfied
13,Business travel,Business,0,0,0,3,4,satisfied,satisfied
14,Business travel,Business,0,0,0,3,5,satisfied,satisfied
15,Business travel,Business,0,0,0,4,1,satisfied,
16,Business travel,Business,0,0,0,4,2,satisfied,satisfied
17,Business travel,Business,0,0,0,4,3,satisfied,satisfied
18,Business travel,Business,0,0,0,4,4,satisfied,satisfied
19,Business travel,Business,0,0,0,4,5,satisfied,satisfied
20,Business travel,Business,0,0,0,5,1,satisfied,
21,Business travel,Business,0,0,0,5,2,satisfied,
22,Business travel,Business,0,0,0,5,3,satisfied,satisfied
23,Business travel,Business,0,0,0,5,4,satisfied,satisfied
24,Business travel,Business,0,0,0,5,5,satisfied,satisfied
25,Business travel,Business,0,0,1,1,4,,satisfied
26,Business travel,Business,0,0,1,1,5,,satisfied
27,Business travel,Business,0,0,1,2,4,,satisfied
28,Business travel,Business,0,0,1,3,4,,satisfied
29,Business travel,Business,0,0,1,3,5,,satisfied
30,Business travel,Business,0,0,1,4,4,,satisfied
31,Business travel,Business,0,0,1,4,5,,satisfied
32,Business travel,Business,0,0,1,5,4,,satisfied
33,Business travel,Business,0,1,0,2,4,,satisfied
34,Business travel,Business,0,1,0,2,5,,satisfied
35,Business travel,Business,0,1,0,3,4,,satisfied
36,Business travel,Business,0,1,0,3,5,,satisfied
37,Business travel,Business,0,1,0,4,4,,satisfied
38,Business travel,Business,0,1,0,5,4,,satisfied
39,Business travel,Business,0,1,0,5,5,,satisfied
40,Business travel,Business,0,1,1,1,1,satisfied,
41,Business travel,Business,0,1,1,1,3,satisfied,satisfied
42,Business travel,Business,0,1,1,1,4,satisfied,satisfied
43,Business travel,Business,0,1,1,1,5,satisfied,satisfied
44,Business travel,Business,0,1,1,2,1,satisfied,
45,Business travel,Business,0,1,1,2,2,satisfied,
46,Business travel,Business,0,1,1,2,3,satisfied,
47,Business travel,Business,0,1,1,2,4,satisfied,satisfied
48,Business travel,Business,0,1,1,2,5,satisfied,
49,Business travel,Business,0,1,1,3,1,satisfied,
50,Business travel,Business,0,1,1,3,2,satisfied,
51,Business travel,Business,0,1,1,3,3,satisfied,
52,Business travel,Business,0,1,1,3,4,satisfied,satisfied
53,Business travel,Business,0,1,1,3,5,satisfied,satisfied
54,Business travel,Business,0,1,1,4,1,satisfied,
55,Business travel,Business,0,1,1,4,2,satisfied,
56,Business travel,Business,0,1,1,4,3,satisfied,satisfied
57,Business travel,Business,0,1,1,4,4,satisfied,
58,Business travel,Business,0,1,1,4,5,satisfied,satisfied
59,Business travel,Business,0,1,1,5,1,satisfied,
60,Business travel,Business,0,1,1,5,2,satisfied,
61,Business travel,Business,0,1,1,5,3,satisfied,
62,Business travel,Business,0,1,1,5,4,satisfied,
63,Business travel,Business,0,2,0,1,5,,satisfied
64,Business travel,Business,0,2,0,2,4,,satisfied
65,Business travel,Business,0,2,0,2,5,,satisfied
66,Business travel,Business,0,2,0,3,4,,satisfied
67,Business travel,Business,0,2,0,4,5,,satisfied
68,Business travel,Business,0,2,0,5,4,,satisfied
69,Business travel,Business,0,2,0,5,5,,satisfied
70,Business travel,Business,0,2,1,1,4,,satisfied
