Kidhome,Teenhome,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response
0,1,0,0,0,0,0,0,No
0,1,0,1,0,0,0,0,No
0,0,0,0,0,0,0,0,No
0,0,0,0,1,1,0,0,No
0,2,1,0,0,0,0,0,No
1,0,0,0,0,0,0,0,No
0,0,0,0,0,1,0,0,No
0,0,0,0,1,0,0,0,No
0,1,1,0,0,0,0,0,Yes
0,2,0,1,0,0,0,0,No
1,1,0,0,0,0,0,0,No
0,1,0,1,0,1,0,0,Yes
1,2,0,0,0,0,0,0,No
0,0,0,1,0,0,0,0,No
1,0,1,0,0,0,0,0,Yes
1,1,1,0,0,0,0,0,No
0,0,1,0,0,0,0,0,Yes
0,1,1,0,1,1,0,0,Yes
1,1,1,0,0,0,1,0,No
0,2,1,0,1,0,1,0,Yes
0,1,0,0,1,0,0,0,No
0,2,0,0,0,0,0,0,No
2,1,0,0,0,0,0,0,No
1,0,1,0,1,0,0,0,No
0,0,0,1,1,1,1,0,Yes
0,1,0,1,1,0,0,0,No
1,1,0,1,0,0,0,0,No
0,0,0,1,1,0,1,0,Yes
0,1,0,0,0,1,0,0,No
0,0,0,1,0,1,0,0,No
0,1,1,0,0,1,0,0,Yes
1,1,0,0,0,1,0,0,No
1,0,0,1,0,0,0,0,Yes
1,0,0,0,0,0,0,1,No
0,0,0,1,1,0,0,0,Yes
0,1,0,1,1,1,0,0,No
0,0,0,1,0,0,1,0,Yes
0,1,0,1,0,0,1,0,No
0,2,0,0,0,1,0,0,No
0,0,0,1,1,1,0,0,Yes
2,0,1,0,0,0,0,1,Yes
0,0,1,0,1,0,1,0,Yes
2,0,0,0,0,0,0,0,No
0,0,1,0,1,1,0,0,Yes
1,0,0,1,0,1,0,0,No
0,0,0,0,0,0,0,1,No
0,0,1,0,0,1,0,0,No
1,1,0,0,0,0,0,1,No
0,1,0,0,0,0,0,1,No
0,2,0,1,1,0,0,0,Yes
1,0,0,1,1,1,0,0,Yes
2,1,0,0,0,1,0,0,No
0,1,0,1,0,1,1,0,Yes
0,0,1,0,1,0,0,0,No
0,1,0,1,1,1,1,0,Yes
1,2,0,1,0,1,0,0,No
0,0,1,0,1,0,0,1,Yes
1,2,0,1,0,0,0,0,Yes
1,2,0,1,1,0,0,0,No
1,0,0,0,0,1,0,0,No
0,0,1,0,1,1,1,0,Yes
1,1,0,1,1,1,0,0,No
1,2,0,0,0,0,0,1,No
0,0,0,0,0,0,1,0,Yes
1,1,1,0,0,1,0,0,Yes
1,2,1,0,0,0,0,0,No
0,0,0,1,0,1,1,0,Yes
