country,gender,tenure,products_number,credit_card,active_member,churn
Germany,Male,3,2,0,0,No
France,Male,1,2,1,1,No
Spain,Female,4,2,1,0,No
Germany,Male,8,2,1,1,No
Spain,Female,7,1,1,1,No
Spain,Male,8,2,1,1,No
Spain,Female,3,1,1,0,No
Germany,Female,6,1,1,0,Yes
Spain,Female,4,1,1,0,No
Germany,Female,3,1,1,1,No
France,Female,9,3,1,1,Yes
France,Female,4,1,0,0,Yes
France,Male,6,1,1,0,Yes
Germany,Female,2,1,1,0,No
France,Male,1,1,1,1,No
Spain,Female,5,2,1,0,No
Spain,Female,3,2,0,1,No
Germany,Male,9,2,0,1,No
Spain,Male,1,2,1,1,No
France,Female,2,2,1,0,No
France,Female,2,1,1,1,No
France,Male,9,2,1,1,No
France,Female,9,2,0,0,Yes
Spain,Male,4,1,1,0,No
France,Female,6,2,1,1,No
France,Female,3,1,0,1,Yes
Germany,Male,8,2,1,0,No
France,Male,3,2,0,1,No
Spain,Female,0,2,1,1,No
France,Male,10,2,1,0,No
France,Female,8,1,1,1,No
France,Female,10,2,1,0,No
France,Female,10,2,0,1,No
France,Male,1,2,0,0,No
Spain,Male,5,1,1,0,No
Spain,Male,4,1,0,0,Yes
Germany,Female,9,1,0,0,Yes
Spain,Female,1,2,1,1,No
Spain,Male,3,1,0,0,No
France,Female,3,2,1,1,No
France,Male,7,1,1,0,Yes
France,Female,0,1,1,0,Yes
France,Male,7,2,0,1,No
France,Male,2,2,1,0,No
Germany,Male,6,2,0,1,No
France,Male,4,1,0,1,No
Germany,Female,2,2,0,0,No
France,Male,5,1,0,1,Yes
Germany,Male,2,2,1,1,No
France,Female,3,1,1,0,No
France,Female,6,1,1,0,No
Germany,Male,8,1,1,0,Yes
Spain,Female,3,3,1,0,Yes
France,Male,2,1,0,0,No
Spain,Female,8,2,1,1,No
France,Female,4,2,1,0,No
France,Female,0,1,1,1,No
Germany,Male,6,2,1,1,No
Spain,Female,4,2,1,1,No
Germany,Female,2,1,0,0,No
Germany,Female,2,1,0,1,No
Spain,Female,5,1,0,0,No
France,Female,6,2,0,0,No
Germany,Male,7,1,1,1,No
Germany,Male,1,1,1,1,Yes
France,Male,5,1,1,1,No
Germany,Female,9,1,0,1,No
France,Male,2,1,1,0,Yes
France,Male,3,1,1,1,No
France,Male,6,1,1,1,No
France,Female,7,2,1,1,No
France,Male,3,2,1,1,No
Germany,Male,7,2,1,1,No
Spain,Male,0,2,0,0,No
France,Female,5,2,0,1,No
France,Female,7,1,1,1,No
France,Female,1,1,1,0,Yes
Spain,Male,6,1,1,1,No
France,Female,1,1,1,1,Yes
Spain,Male,3,2,1,0,No
Germany,Male,4,1,1,1,Yes
Germany,Male,9,2,1,0,No
Germany,Female,4,2,1,0,Yes
France,Male,10,1,1,1,No
Germany,Male,2,3,1,1,Yes
Germany,Female,4,1,0,1,Yes
France,Male,3,2,0,0,No
France,Male,5,2,1,0,No
France,Male,9,1,1,0,Yes
France,Female,0,2,1,0,No
France,Male,7,1,0,0,No
Germany,Male,0,1,0,0,Yes
France,Male,2,1,1,1,No
Germany,Female,9,1,1,0,Yes
France,Female,1,2,1,1,No
France,Male,6,2,1,0,No
Spain,Male,4,2,1,1,No
Spain,Female,2,1,1,0,No
Germany,Female,4,1,1,0,Yes
France,Male,8,3,1,0,Yes
France,Male,9,1,1,1,No
Germany,Female,2,2,1,1,No
France,Male,1,1,0,0,No
Spain,Male,2,2,0,1,No
Spain,Male,5,2,0,1,No
Germany,Female,7,2,1,0,No
Spain,Female,8,1,1,0,No
France,Female,1,1,0,1,No
France,Male,4,1,1,0,No
Germany,Female,10,2,1,1,No
France,Male,5,2,1,1,No
France,Male,8,2,0,1,No
Spain,Female,6,2,1,0,No
Spain,Male,9,1,0,1,No
France,Male,7,1,1,1,No
France,Male,10,2,1,1,No
France,Female,9,2,1,1,No
Germany,Male,4,2,1,0,No
Germany,Female,9,2,1,1,No
Spain,Female,6,2,1,1,No
France,Male,9,2,0,0,No
France,Female,7,2,0,0,No
France,Male,2,2,1,1,No
Spain,Male,6,2,0,1,No
France,Female,9,2,0,1,No
Germany,Female,6,1,0,0,Yes
France,Female,6,2,1,0,No
Germany,Male,6,1,1,0,Yes
France,Female,6,1,1,1,Yes
Spain,Female,5,1,1,0,No
France,Male,7,1,0,1,No
Spain,Male,8,2,0,0,No
France,Male,0,2,1,1,No
Germany,Male,9,1,1,0,Yes
France,Female,8,2,1,1,No
Spain,Male,8,2,1,0,No
Spain,Female,7,1,0,0,No
France,Male,6,1,0,0,No
France,Female,4,3,1,1,Yes
France,Male,0,2,0,0,No
Spain,Male,3,2,0,1,No
France,Male,4,1,0,0,No
Germany,Male,6,2,1,0,No
Germany,Female,8,1,1,1,No
France,Female,8,2,0,0,No
France,Male,3,1,1,0,No
Germany,Male,3,2,1,1,No
France,Female,8,1,1,0,No
Germany,Male,2,1,1,0,Yes
Germany,Male,2,1,0,0,Yes
Spain,Male,7,2,0,0,No
Spain,Female,10,1,0,1,No
France,Male,5,1,1,0,No
France,Male,8,2,1,1,No
France,Female,4,2,0,1,No
Spain,Female,5,2,1,1,No
Germany,Female,8,4,1,1,Yes
France,Female,10,1,1,1,No
Spain,Male,2,2,0,0,No
Germany,Male,3,1,1,1,No
Spain,Female,0,1,1,1,Yes
France,Male,4,2,0,1,Yes
France,Female,3,2,1,0,No
France,Male,8,1,1,0,No
Germany,Female,2,4,1,0,Yes
France,Male,1,2,0,1,No
France,Female,9,1,0,0,Yes
France,Male,9,2,1,0,No
Spain,Female,6,1,0,1,No
Germany,Female,7,1,1,1,Yes
Spain,Female,8,1,0,0,No
Germany,Female,9,1,1,1,No
France,Male,4,1,1,1,No
Germany,Male,9,2,1,1,No
Spain,Male,8,1,0,0,No
Germany,Female,5,1,0,0,Yes
France,Male,9,1,0,1,No
France,Female,9,1,1,0,Yes
France,Female,3,2,0,0,No
Germany,Female,10,1,1,0,Yes
Germany,Male,10,1,0,1,No
Germany,Male,1,2,0,0,No
France,Female,1,2,0,0,No
Spain,Male,2,2,1,0,No
France,Female,2,4,0,1,Yes
France,Female,2,1,0,1,No
France,Female,7,2,0,1,No
Spain,Female,6,2,0,0,No
Spain,Male,3,1,1,0,No
France,Male,6,2,1,1,No
Germany,Female,8,2,1,0,Yes
France,Female,2,2,1,1,Yes
France,Female,8,2,1,0,No
Germany,Female,5,1,1,0,No
Germany,Female,5,3,1,0,No
France,Female,5,1,0,1,No
France,Female,9,1,1,1,No
France,Male,1,1,1,0,No
Germany,Male,5,3,1,0,Yes
Spain,Male,7,1,1,1,No
France,Female,4,3,1,0,Yes
Germany,Female,9,2,0,0,No
Germany,Male,7,1,1,0,No
Germany,Female,10,2,0,0,No
Spain,Male,0,1,0,0,No
France,Male,5,2,0,0,No
Germany,Female,0,1,0,0,Yes
Spain,Male,8,1,0,1,No
France,Male,6,2,0,1,No
Spain,Male,5,1,0,0,No
Spain,Female,1,1,0,1,No
Spain,Female,10,2,1,0,No
Germany,Female,4,1,1,1,No
Germany,Male,5,1,1,0,Yes
Germany,Female,4,4,1,0,Yes
Germany,Male,3,2,0,1,No
Germany,Female,0,2,1,1,No
France,Male,8,2,1,0,No
Germany,Male,5,1,1,1,Yes
Germany,Male,10,1,1,0,No
France,Female,4,1,1,0,No
France,Male,6,2,0,0,No
Germany,Female,7,2,1,1,No
Spain,Female,4,2,0,1,No
France,Male,4,2,1,1,No
Germany,Male,1,2,0,1,No
Germany,Male,0,2,0,0,No
Spain,Male,6,2,1,1,No
France,Male,10,2,0,0,No
Germany,Female,5,1,0,1,No
France,Female,3,2,0,1,No
Germany,Female,9,2,0,1,No
Germany,Female,2,2,1,0,No
Germany,Female,1,2,1,1,No
France,Male,8,1,0,1,Yes
Spain,Female,10,1,1,1,No
France,Female,8,1,0,1,No
Spain,Female,4,1,1,1,No
Spain,Female,2,2,0,1,No
France,Male,1,2,1,0,No
Spain,Female,10,2,0,1,No
Germany,Female,10,1,1,1,No
France,Male,6,1,0,1,No
Germany,Male,6,1,1,1,No
Spain,Female,7,2,1,0,No
Germany,Male,3,2,1,0,No
France,Female,1,2,1,0,No
France,Female,7,1,1,0,No
Spain,Female,7,2,0,0,Yes
Spain,Male,3,2,1,1,No
Germany,Male,8,2,0,0,No
Germany,Female,8,2,1,1,No
Spain,Female,7,1,1,0,No
Spain,Male,10,2,1,1,No
Spain,Female,1,1,1,1,Yes
Germany,Female,5,1,1,1,No
France,Male,0,2,1,0,Yes
France,Male,7,4,0,0,Yes
Spain,Male,0,2,1,0,No
Spain,Male,7,1,0,1,No
Spain,Female,7,2,1,1,No
Spain,Male,1,1,1,1,No
Germany,Male,7,3,1,1,Yes
Germany,Female,8,1,1,0,Yes
Spain,Male,10,1,0,0,No
Spain,Male,0,1,0,1,Yes
Germany,Female,1,2,0,0,No
France,Female,5,2,1,0,No
France,Female,0,1,0,1,No
Spain,Female,5,1,1,1,No
France,Female,4,1,1,1,Yes
Germany,Female,7,2,0,1,No
Spain,Female,3,1,1,1,No
Spain,Male,6,1,1,0,No
Germany,Female,8,3,1,1,Yes
Spain,Female,2,2,1,0,No
Spain,Female,9,1,1,0,Yes
Spain,Male,0,1,1,1,No
Spain,Male,4,2,0,1,No
Spain,Male,8,1,1,1,No
Spain,Male,5,1,0,1,No
France,Female,9,2,1,0,No
Germany,Male,5,2,1,1,No
Spain,Male,6,1,0,0,No
Germany,Male,1,2,1,1,No
France,Female,1,2,0,1,No
Spain,Female,3,1,0,1,No
Spain,Male,4,2,1,0,No
Spain,Male,3,1,1,1,No
France,Female,8,1,0,0,No
Germany,Female,9,2,1,0,No
Germany,Female,1,1,0,1,Yes
France,Female,7,2,1,0,No
Germany,Male,2,1,1,1,No
Germany,Female,4,2,1,1,Yes
Spain,Male,4,1,0,1,Yes
Spain,Female,2,1,0,1,No
Germany,Male,9,1,0,1,No
France,Male,8,1,1,1,No
France,Female,4,2,1,1,No
Germany,Female,1,1,0,0,Yes
Germany,Female,7,1,1,0,No
Spain,Male,4,1,1,1,No
Germany,Female,5,2,1,1,No
France,Female,2,1,1,0,No
Spain,Male,6,2,1,0,No
France,Male,10,1,0,1,Yes
Spain,Male,7,1,1,0,No
Spain,Male,0,2,1,1,No
Spain,Female,6,1,1,0,Yes
Germany,Male,3,3,0,1,Yes
Spain,Female,9,2,0,1,No
France,Female,10,2,1,1,No
Germany,Female,1,1,1,0,No
Germany,Female,8,1,0,0,Yes
Spain,Male,9,2,1,0,No
Spain,Female,4,3,0,0,Yes
Spain,Male,2,1,1,0,No
Spain,Male,7,2,1,0,No
Spain,Male,9,2,0,1,No
Germany,Female,0,1,0,1,Yes
Germany,Male,9,1,1,1,No
France,Female,5,1,1,0,Yes
France,Male,0,1,1,1,No
Spain,Male,2,1,0,0,Yes
Spain,Male,5,2,1,1,No
France,Male,10,2,0,1,No
France,Female,2,4,1,0,Yes
France,Male,7,2,1,0,No
Germany,Male,10,1,1,1,No
Spain,Female,2,2,0,0,No
Spain,Male,0,1,1,0,Yes
France,Male,2,1,0,1,No
France,Male,3,2,1,0,No
