Delivery_person_Age,Delivery_person_Ratings,Type_of_order,Type_of_vehicle,Time_taken(min)
37,4.3,Snack ,motorcycle ,36
29,5.0,Buffet ,scooter ,24
22,4.1,Meal ,motorcycle ,34
38,4.6,Buffet ,motorcycle ,24
33,4.9,Meal ,electric_scooter ,28
25,4.0,Meal ,motorcycle ,38
26,4.8,Buffet ,scooter ,19
30,4.3,Snack ,motorcycle ,41
39,4.3,Snack ,motorcycle ,37
30,4.9,Snack ,electric_scooter ,26
37,4.7,Meal ,motorcycle ,28
26,4.9,Buffet ,motorcycle ,28
36,4.2,Drinks ,motorcycle ,32
28,4.6,Buffet ,motorcycle ,18
31,4.7,Snack ,motorcycle ,22
24,4.7,Drinks ,motorcycle ,29
38,4.7,Buffet ,motorcycle ,28
29,4.8,Drinks ,scooter ,19
24,4.9,Buffet ,motorcycle ,24
29,4.6,Meal ,motorcycle ,45
38,4.9,Drinks ,motorcycle ,35
32,4.7,Snack ,motorcycle ,20
22,4.7,Drinks ,scooter ,19
34,4.8,Meal ,motorcycle ,33
22,4.6,Snack ,motorcycle ,13
20,4.9,Drinks ,scooter ,31
29,4.7,Buffet ,motorcycle ,27
28,4.9,Buffet ,motorcycle ,29
31,4.9,Meal ,scooter ,25
26,5.0,Snack ,scooter ,27
28,4.6,Snack ,scooter ,19
28,4.7,Snack ,motorcycle ,13
25,4.6,Snack ,scooter ,18
21,4.5,Meal ,motorcycle ,19
37,5.0,Meal ,scooter ,29
23,4.9,Snack ,scooter ,16
28,5.0,Meal ,motorcycle ,19
21,4.8,Meal ,motorcycle ,29
33,4.8,Snack ,motorcycle ,29
25,4.6,Snack ,motorcycle ,20
29,4.8,Buffet ,motorcycle ,19
31,4.7,Meal ,motorcycle ,30
31,4.1,Buffet ,motorcycle ,34
38,4.7,Snack ,scooter ,17
20,4.9,Drinks ,motorcycle ,10
25,4.6,Meal ,scooter ,23
39,4.3,Meal ,motorcycle ,39
25,4.8,Drinks ,electric_scooter ,24
29,5.0,Drinks ,motorcycle ,34
34,3.5,Snack ,scooter ,38
29,4.6,Drinks ,motorcycle ,19
30,4.6,Snack ,motorcycle ,41
21,4.3,Snack ,motorcycle ,52
24,5.0,Meal ,motorcycle ,26
39,4.4,Meal ,scooter ,39
28,4.8,Buffet ,motorcycle ,24
20,4.6,Drinks ,motorcycle ,27
36,5.0,Drinks ,motorcycle ,30
25,4.8,Snack ,scooter ,12
20,4.9,Meal ,electric_scooter ,10
37,4.7,Buffet ,scooter ,44
39,4.5,Buffet ,motorcycle ,15
23,4.3,Drinks ,motorcycle ,35
22,5.0,Buffet ,motorcycle ,43
32,4.7,Drinks ,scooter ,26
32,4.7,Snack ,scooter ,29
22,4.5,Drinks ,motorcycle ,26
25,5.0,Snack ,motorcycle ,25
36,4.8,Drinks ,motorcycle ,36
26,4.6,Buffet ,scooter ,20
26,4.6,Buffet ,motorcycle ,26
25,4.3,Buffet ,motorcycle ,34
21,4.2,Buffet ,motorcycle ,35
35,3.6,Snack ,scooter ,42
37,4.7,Drinks ,motorcycle ,15
25,4.5,Buffet ,scooter ,15
30,4.3,Buffet ,motorcycle ,33
23,4.2,Snack ,motorcycle ,35
21,4.8,Meal ,scooter ,13
34,4.7,Snack ,motorcycle ,34
26,5.0,Snack ,motorcycle ,24
33,5.0,Buffet ,scooter ,26
36,4.5,Buffet ,motorcycle ,48
22,4.6,Drinks ,scooter ,27
27,4.2,Drinks ,motorcycle ,53
38,4.2,Meal ,motorcycle ,33
21,4.8,Drinks ,motorcycle ,29
20,4.8,Buffet ,motorcycle ,25
26,4.6,Drinks ,motorcycle ,19
34,4.7,Drinks ,scooter ,32
26,5.0,Meal ,motorcycle ,29
23,4.5,Meal ,motorcycle ,18
39,4.9,Snack ,motorcycle ,45
36,4.8,Snack ,motorcycle ,39
29,4.6,Snack ,electric_scooter ,24
22,4.8,Snack ,scooter ,10
28,4.8,Buffet ,scooter ,21
20,4.7,Buffet ,motorcycle ,17
31,4.6,Snack ,motorcycle ,21
27,4.9,Buffet ,motorcycle ,26
36,4.9,Buffet ,scooter ,30
34,4.2,Snack ,scooter ,31
28,4.5,Drinks ,electric_scooter ,27
24,4.7,Buffet ,motorcycle ,22
38,4.6,Meal ,motorcycle ,33
38,5.0,Buffet ,motorcycle ,25
20,4.9,Buffet ,scooter ,10
37,4.6,Buffet ,scooter ,26
24,4.3,Snack ,motorcycle ,26
26,4.8,Buffet ,motorcycle ,21
23,4.9,Snack ,motorcycle ,27
25,4.6,Drinks ,motorcycle ,16
39,4.7,Meal ,motorcycle ,37
24,4.9,Snack ,motorcycle ,11
29,4.8,Meal ,electric_scooter ,11
35,4.3,Meal ,scooter ,37
30,4.4,Meal ,scooter ,32
38,4.8,Buffet ,scooter ,28
29,4.6,Snack ,motorcycle ,42
24,4.8,Meal ,motorcycle ,26
24,4.7,Meal ,motorcycle ,18
34,4.2,Drinks ,motorcycle ,37
35,4.7,Buffet ,scooter ,12
22,4.8,Meal ,scooter ,17
30,4.6,Meal ,scooter ,23
22,4.8,Buffet ,scooter ,17
28,4.6,Snack ,motorcycle ,23
31,4.9,Drinks ,motorcycle ,20
33,4.7,Meal ,motorcycle ,26
24,4.8,Buffet ,motorcycle ,30
29,4.6,Buffet ,scooter ,33
35,4.2,Meal ,motorcycle ,42
28,4.7,Snack ,electric_scooter ,37
23,4.8,Meal ,motorcycle ,16
35,4.7,Drinks ,scooter ,18
30,4.8,Meal ,motorcycle ,47
37,4.0,Drinks ,motorcycle ,31
38,4.9,Snack ,electric_scooter ,44
33,4.3,Meal ,scooter ,38
34,4.9,Meal ,motorcycle ,22
34,4.9,Buffet ,motorcycle ,19
34,4.6,Meal ,motorcycle ,29
35,4.5,Meal ,motorcycle ,29
28,5.0,Snack ,motorcycle ,22
31,4.2,Snack ,motorcycle ,36
24,4.7,Snack ,scooter ,27
31,4.8,Meal ,motorcycle ,23
33,4.9,Drinks ,electric_scooter ,19
38,4.6,Snack ,motorcycle ,31
23,4.2,Meal ,motorcycle ,42
22,4.6,Snack ,electric_scooter ,11
33,4.5,Drinks ,scooter ,28
32,4.6,Meal ,motorcycle ,21
37,4.9,Snack ,scooter ,21
31,4.8,Snack ,electric_scooter ,27
24,4.2,Buffet ,motorcycle ,33
39,4.3,Drinks ,motorcycle ,39
28,4.8,Snack ,motorcycle ,14
31,4.6,Buffet ,electric_scooter ,30
22,5.0,Meal ,motorcycle ,18
26,4.7,Buffet ,scooter ,20
28,4.9,Drinks ,motorcycle ,38
35,4.6,Buffet ,motorcycle ,30
21,4.7,Meal ,scooter ,25
30,4.1,Buffet ,motorcycle ,34
33,4.7,Drinks ,electric_scooter ,25
34,4.5,Drinks ,scooter ,30
21,4.7,Meal ,motorcycle ,26
34,4.6,Buffet ,motorcycle ,42
25,4.7,Drinks ,motorcycle ,12
21,4.9,Snack ,scooter ,16
26,5.0,Buffet ,scooter ,29
36,4.7,Snack ,scooter ,28
33,4.7,Snack ,scooter ,28
39,3.6,Snack ,scooter ,38
31,4.7,Drinks ,electric_scooter ,30
32,5.0,Buffet ,scooter ,27
35,4.8,Drinks ,motorcycle ,25
23,4.9,Buffet ,electric_scooter ,38
33,4.1,Meal ,scooter ,39
38,4.1,Buffet ,motorcycle ,23
29,4.3,Snack ,motorcycle ,38
33,4.8,Meal ,scooter ,25
36,4.5,Drinks ,motorcycle ,27
39,4.6,Buffet ,motorcycle ,46
33,4.8,Meal ,electric_scooter ,25
31,4.7,Snack ,electric_scooter ,19
28,4.9,Snack ,motorcycle ,18
24,4.4,Drinks ,motorcycle ,27
25,4.9,Meal ,scooter ,12
27,4.8,Drinks ,motorcycle ,33
31,5.0,Drinks ,scooter ,28
20,5.0,Snack ,motorcycle ,44
21,4.5,Buffet ,motorcycle ,18
35,4.7,Drinks ,motorcycle ,44
35,4.9,Meal ,motorcycle ,20
34,4.6,Snack ,motorcycle ,25
21,4.8,Snack ,motorcycle ,14
23,4.6,Drinks ,motorcycle ,30
32,4.5,Drinks ,motorcycle ,27
28,4.9,Meal ,motorcycle ,19
24,4.8,Drinks ,electric_scooter ,23
35,4.1,Drinks ,motorcycle ,24
25,4.8,Buffet ,motorcycle ,17
37,4.8,Snack ,scooter ,29
29,4.9,Snack ,motorcycle ,39
33,4.8,Meal ,motorcycle ,25
27,4.9,Snack ,scooter ,15
39,4.7,Snack ,motorcycle ,39
34,3.8,Buffet ,scooter ,34
27,4.6,Snack ,motorcycle ,15
26,4.8,Drinks ,motorcycle ,18
27,4.8,Snack ,scooter ,19
22,4.8,Meal ,electric_scooter ,19
30,5.0,Snack ,motorcycle ,25
34,4.9,Drinks ,motorcycle ,26
31,4.5,Drinks ,scooter ,38
29,4.3,Drinks ,motorcycle ,33
38,3.6,Drinks ,motorcycle ,31
30,4.9,Drinks ,motorcycle ,37
38,4.6,Buffet ,scooter ,24
35,4.1,Buffet ,motorcycle ,44
32,4.6,Buffet ,motorcycle ,30
27,5.0,Snack ,scooter ,23
29,4.5,Snack ,scooter ,13
35,4.6,Snack ,motorcycle ,47
27,4.7,Snack ,motorcycle ,21
26,4.8,Drinks ,scooter ,35
26,4.8,Meal ,scooter ,15
21,4.9,Drinks ,motorcycle ,18
31,4.4,Drinks ,electric_scooter ,33
27,4.9,Buffet ,scooter ,13
25,4.5,Snack ,scooter ,16
26,4.9,Snack ,scooter ,36
37,4.9,Drinks ,motorcycle ,38
34,4.3,Meal ,motorcycle ,38
33,4.5,Drinks ,motorcycle ,25
32,4.6,Snack ,scooter ,30
38,4.7,Meal ,motorcycle ,28
33,4.7,Snack ,motorcycle ,30
30,4.2,Drinks ,scooter ,31
31,4.6,Buffet ,motorcycle ,18
24,4.1,Buffet ,motorcycle ,49
29,4.9,Snack ,scooter ,18
32,4.8,Drinks ,scooter ,45
23,4.7,Buffet ,scooter ,11
27,4.9,Snack ,motorcycle ,12
20,4.7,Drinks ,scooter ,29
31,4.7,Snack ,scooter ,27
36,5.0,Meal ,motorcycle ,43
33,4.1,Buffet ,motorcycle ,21
38,4.9,Snack ,scooter ,15
23,4.9,Meal ,motorcycle ,19
33,4.5,Meal ,motorcycle ,15
21,4.9,Snack ,motorcycle ,20
21,4.6,Drinks ,scooter ,26
33,4.2,Buffet ,scooter ,44
38,4.9,Buffet ,scooter ,22
38,4.8,Snack ,scooter ,25
36,3.6,Drinks ,scooter ,39
36,4.4,Buffet ,motorcycle ,33
21,4.1,Snack ,motorcycle ,34
26,4.2,Snack ,scooter ,44
22,4.5,Buffet ,electric_scooter ,19
32,4.9,Drinks ,motorcycle ,21
25,5.0,Drinks ,scooter ,11
29,4.4,Drinks ,motorcycle ,23
31,4.7,Drinks ,motorcycle ,46
37,3.6,Snack ,scooter ,38
20,5.0,Meal ,motorcycle ,36
37,5.0,Meal ,motorcycle ,35
20,4.9,Meal ,scooter ,12
33,4.7,Buffet ,scooter ,27
37,4.5,Snack ,scooter ,28
30,4.8,Snack ,scooter ,25
26,4.1,Snack ,electric_scooter ,39
37,4.6,Drinks ,scooter ,30
24,4.3,Drinks ,motorcycle ,44
30,3.7,Drinks ,motorcycle ,38
31,4.6,Meal ,motorcycle ,26
28,4.6,Drinks ,motorcycle ,25
28,4.6,Drinks ,scooter ,40
34,4.3,Drinks ,motorcycle ,40
22,4.6,Snack ,scooter ,15
30,4.4,Snack ,motorcycle ,32
29,4.7,Meal ,scooter ,28
24,4.6,Meal ,motorcycle ,18
21,4.6,Snack ,motorcycle ,28
27,4.8,Snack ,motorcycle ,13
38,4.8,Meal ,motorcycle ,20
25,4.6,Buffet ,scooter ,16
39,5.0,Buffet ,electric_scooter ,32
38,4.2,Meal ,electric_scooter ,43
35,4.5,Snack ,motorcycle ,24
20,5.0,Snack ,electric_scooter ,29
34,4.4,Snack ,motorcycle ,32
26,4.8,Snack ,scooter ,19
29,4.6,Buffet ,motorcycle ,19
35,5.0,Buffet ,motorcycle ,29
20,4.6,Snack ,motorcycle ,35
33,4.6,Drinks ,motorcycle ,35
37,4.6,Snack ,motorcycle ,48
39,4.5,Buffet ,scooter ,24
22,4.7,Meal ,motorcycle ,21
29,4.7,Meal ,motorcycle ,19
39,4.6,Drinks ,motorcycle ,29
20,4.8,Meal ,motorcycle ,12
31,4.2,Snack ,scooter ,39
28,3.9,Meal ,motorcycle ,45
29,4.8,Snack ,scooter ,10
36,5.0,Snack ,motorcycle ,44
29,4.6,Snack ,scooter ,26
38,4.8,Meal ,scooter ,28
36,4.5,Snack ,scooter ,33
21,4.6,Buffet ,scooter ,25
39,4.8,Snack ,motorcycle ,17
25,4.9,Meal ,motorcycle ,20
20,4.5,Meal ,motorcycle ,16
25,5.0,Meal ,motorcycle ,23
36,4.7,Buffet ,electric_scooter ,24
23,4.6,Buffet ,scooter ,20
26,4.7,Snack ,scooter ,10
36,5.0,Snack ,scooter ,15
23,4.6,Drinks ,scooter ,15
35,4.2,Drinks ,electric_scooter ,38
32,4.2,Buffet ,motorcycle ,32
29,4.3,Meal ,motorcycle ,32
30,4.3,Snack ,scooter ,35
32,4.9,Snack ,motorcycle ,40
37,3.5,Buffet ,scooter ,41
34,3.7,Meal ,motorcycle ,34
27,4.5,Drinks ,electric_scooter ,17
23,4.8,Buffet ,motorcycle ,22
22,4.6,Meal ,motorcycle ,30
37,4.5,Snack ,electric_scooter ,16
38,4.9,Snack ,motorcycle ,33
20,4.7,Meal ,motorcycle ,27
28,4.6,Meal ,motorcycle ,14
22,4.8,Snack ,motorcycle ,37
31,4.9,Buffet ,scooter ,14
25,4.8,Drinks ,motorcycle ,49
33,4.9,Buffet ,motorcycle ,27
36,4.8,Buffet ,motorcycle ,42
30,5.0,Buffet ,scooter ,48
37,4.0,Buffet ,motorcycle ,34
34,5.0,Snack ,motorcycle ,27
37,4.9,Drinks ,scooter ,25
33,4.9,Meal ,scooter ,16
23,4.8,Meal ,scooter ,28
21,5.0,Snack ,scooter ,15
36,5.0,Buffet ,motorcycle ,50
28,4.9,Meal ,scooter ,16
29,4.6,Meal ,scooter ,29
38,3.7,Buffet ,scooter ,34
29,4.7,Drinks ,motorcycle ,21
34,4.8,Drinks ,motorcycle ,34
27,4.5,Buffet ,scooter ,18
36,4.8,Drinks ,scooter ,32
39,4.9,Snack ,scooter ,20
25,4.9,Buffet ,scooter ,25
38,4.0,Snack ,motorcycle ,39
34,4.6,Drinks ,motorcycle ,25
25,4.5,Buffet ,motorcycle ,16
35,3.5,Snack ,scooter ,39
39,4.8,Meal ,motorcycle ,19
23,4.5,Drinks ,scooter ,16
30,4.2,Meal ,electric_scooter ,33
27,5.0,Meal ,scooter ,17
31,5.0,Snack ,motorcycle ,28
39,4.6,Drinks ,scooter ,35
39,4.8,Drinks ,motorcycle ,21
24,4.8,Drinks ,scooter ,17
31,4.8,Drinks ,motorcycle ,46
27,4.5,Buffet ,motorcycle ,22
20,4.8,Snack ,scooter ,29
39,5.0,Drinks ,motorcycle ,25
29,4.9,Drinks ,motorcycle ,21
35,4.9,Drinks ,scooter ,17
29,5.0,Snack ,motorcycle ,25
32,3.8,Buffet ,motorcycle ,40
34,4.9,Snack ,motorcycle ,27
23,5.0,Drinks ,motorcycle ,20
30,4.6,Buffet ,motorcycle ,30
26,4.7,Buffet ,motorcycle ,31
27,4.9,Drinks ,scooter ,18
37,4.8,Buffet ,motorcycle ,34
20,4.6,Meal ,scooter ,22
39,4.6,Snack ,scooter ,25
31,4.0,Snack ,motorcycle ,45
24,4.5,Snack ,scooter ,22
36,4.9,Snack ,electric_scooter ,19
35,4.6,Snack ,scooter ,19
31,4.3,Drinks ,motorcycle ,42
25,4.7,Meal ,motorcycle ,29
34,4.8,Snack ,motorcycle ,47
35,4.6,Meal ,motorcycle ,35
37,4.9,Buffet ,motorcycle ,21
36,4.5,Buffet ,scooter ,39
28,4.8,Drinks ,motorcycle ,19
38,4.6,Drinks ,scooter ,29
36,4.8,Meal ,motorcycle ,37
22,4.9,Drinks ,motorcycle ,13
37,5.0,Snack ,scooter ,15
32,5.0,Drinks ,motorcycle ,48
33,4.6,Buffet ,scooter ,29
35,4.7,Snack ,motorcycle ,28
37,4.6,Snack ,scooter ,26
35,4.6,Meal ,electric_scooter ,27
35,5.0,Snack ,motorcycle ,18
25,4.6,Snack ,electric_scooter ,22
32,4.6,Drinks ,scooter ,24
27,4.7,Buffet ,scooter ,20
25,4.7,Snack ,scooter ,12
26,4.9,Drinks ,motorcycle ,26
36,4.7,Meal ,scooter ,27
32,4.5,Buffet ,motorcycle ,28
38,4.0,Buffet ,scooter ,49
38,4.1,Drinks ,motorcycle ,40
39,4.6,Meal ,motorcycle ,27
21,4.7,Snack ,motorcycle ,10
21,4.8,Buffet ,scooter ,16
28,4.2,Drinks ,motorcycle ,35
38,4.8,Snack ,motorcycle ,13
26,4.9,Meal ,motorcycle ,20
25,4.6,Meal ,motorcycle ,20
35,4.8,Snack ,scooter ,15
30,4.9,Buffet ,motorcycle ,26
35,4.8,Meal ,scooter ,27
35,4.5,Buffet ,motorcycle ,20
24,4.0,Meal ,motorcycle ,21
32,4.8,Meal ,motorcycle ,42
24,4.8,Meal ,scooter ,10
34,4.9,Drinks ,scooter ,23
36,4.1,Meal ,motorcycle ,31
23,4.9,Buffet ,motorcycle ,22
35,4.3,Drinks ,motorcycle ,34
27,5.0,Meal ,motorcycle ,14
24,4.1,Drinks ,motorcycle ,37
20,4.9,Meal ,motorcycle ,16
30,4.7,Buffet ,scooter ,19
29,4.6,Drinks ,scooter ,42
22,5.0,Meal ,scooter ,32
37,4.8,Drinks ,motorcycle ,17
29,4.5,Buffet ,motorcycle ,41
26,4.8,Meal ,motorcycle ,12
31,4.9,Snack ,scooter ,21
36,4.7,Buffet ,motorcycle ,40
35,4.9,Buffet ,electric_scooter ,16
38,4.9,Drinks ,scooter ,27
34,5.0,Meal ,motorcycle ,29
21,4.7,Drinks ,motorcycle ,20
29,4.5,Snack ,motorcycle ,12
21,4.8,Snack ,scooter ,14
28,4.7,Buffet ,motorcycle ,20
20,4.0,Meal ,motorcycle ,23
20,4.5,Meal ,scooter ,29
35,4.0,Drinks ,motorcycle ,34
34,5.0,Drinks ,motorcycle ,28
22,4.8,Drinks ,motorcycle ,19
36,4.6,Meal ,motorcycle ,30
28,4.5,Buffet ,motorcycle ,17
24,4.5,Snack ,motorcycle ,49
27,4.6,Drinks ,scooter ,11
31,4.3,Snack ,scooter ,36
30,4.7,Drinks ,motorcycle ,18
35,4.0,Meal ,motorcycle ,33
36,4.6,Buffet ,motorcycle ,23
21,4.7,Drinks ,scooter ,26
34,4.8,Buffet ,motorcycle ,26
20,4.7,Meal ,scooter ,21
30,4.5,Buffet ,motorcycle ,22
33,5.0,Snack ,motorcycle ,26
26,5.0,Drinks ,scooter ,21
24,4.8,Drinks ,motorcycle ,12
34,4.1,Drinks ,motorcycle ,38
20,5.0,Drinks ,scooter ,21
33,4.8,Drinks ,motorcycle ,27
38,4.5,Buffet ,motorcycle ,46
23,4.3,Meal ,scooter ,37
27,4.6,Meal ,motorcycle ,18
33,4.9,Buffet ,scooter ,19
24,4.9,Drinks ,motorcycle ,23
27,4.7,Meal ,motorcycle ,20
31,3.6,Snack ,electric_scooter ,42
37,4.8,Meal ,motorcycle ,21
38,4.4,Snack ,scooter ,36
25,4.9,Drinks ,motorcycle ,15
24,4.9,Drinks ,scooter ,22
25,4.7,Snack ,motorcycle ,32
21,4.8,Drinks ,scooter ,17
