molecule_structure_property_534,molecule_structure_property_535,molecule_structure_property_536,molecule_structure_property_537,molecule_structure_property_538,molecule_structure_property_539,molecule_structure_property_540,molecule_structure_property_541,molecule_structure_property_1617,CompoundActivity
0,0,0,0,0,0,0,0,0,CM
0,0,0,0,0,0,1,0,0,CI
0,0,1,0,0,0,0,0,0,CI
0,0,0,0,0,0,1,0,1,CM
1,0,0,0,0,0,0,1,0,CI
0,0,0,0,0,0,0,1,0,CI
1,1,0,0,0,0,0,0,0,CI
0,1,0,0,0,0,0,1,0,CI
0,1,0,0,0,0,0,0,0,CI
1,0,0,0,0,0,0,0,0,CI
0,0,0,0,1,0,0,0,0,CI
0,0,0,0,0,0,0,0,1,CI
0,1,1,0,0,0,1,0,0,CM
1,0,0,0,0,0,0,0,1,CI
0,1,0,0,0,0,1,0,0,CI
0,1,1,0,0,0,0,0,0,CI
0,1,0,0,0,0,1,1,0,CI
0,1,0,1,0,0,0,1,0,CM
0,1,1,0,1,0,0,0,0,CI
0,0,0,0,0,0,1,1,0,CI
0,1,0,0,0,0,0,0,1,CI
0,1,0,0,1,0,0,0,0,CI
1,1,0,0,0,0,0,0,1,CI
1,0,0,0,0,0,1,0,0,CI
0,0,0,1,0,0,0,0,0,CI
0,1,0,0,1,1,0,0,0,CI
0,0,0,1,0,0,1,1,0,CI
0,0,0,1,0,0,0,1,0,CM
0,0,0,0,1,0,1,0,0,CI
1,1,0,0,0,0,1,0,1,CI
1,1,0,0,0,0,0,1,0,CI
1,1,0,0,0,0,1,0,0,CI
0,0,0,0,0,1,0,0,0,CI
0,0,0,1,0,0,1,1,1,CI
1,0,0,0,1,0,0,0,0,CI
0,0,0,0,1,0,0,1,0,CI
0,1,0,0,0,0,1,0,1,CI
1,0,0,1,0,0,1,1,0,CI
0,0,0,1,1,0,0,1,0,CI
1,0,1,0,0,0,0,0,0,CI
0,0,1,0,0,0,1,0,0,CI
0,0,1,1,0,0,0,0,0,CI
1,0,0,0,0,0,1,0,1,CI
1,0,0,0,1,0,1,0,0,CI
0,0,1,0,0,0,0,0,1,CI
1,1,0,0,0,0,1,1,0,CI
1,1,0,1,0,0,0,1,0,CI
0,0,0,0,1,0,0,0,1,CA
1,0,0,1,0,0,0,1,0,CI
0,1,1,0,0,0,0,0,1,CI
0,0,1,1,0,0,0,1,0,CI
1,1,1,0,0,0,0,0,0,CI
1,0,0,0,0,0,1,1,0,CI
0,1,0,0,1,0,0,1,0,CI
0,1,1,0,0,0,0,1,0,CI
0,0,0,0,0,0,0,1,1,CI
1,1,1,0,0,0,0,1,0,CI
0,1,0,1,0,0,1,1,0,CI
0,0,0,0,1,1,0,0,0,CI
0,1,0,0,0,0,1,1,1,CI
0,1,0,0,1,0,0,0,1,CI
0,1,1,0,0,0,1,0,1,CI
1,0,0,0,1,0,0,1,0,CI
