Marital_status,Daytimeevening_attendance,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,International,AcademicOutcome
married,daytime,no,no,no,yes,female,no,no,Graduate
single,daytime,no,no,no,yes,female,no,no,Enrolled
married,daytime,no,no,no,yes,female,yes,no,Graduate
single,daytime,no,no,no,yes,male,no,no,Enrolled
single,daytime,yes,no,no,yes,female,no,no,Graduate
single,daytime,no,no,no,yes,female,yes,no,Dropout
single,daytime,yes,no,no,yes,female,yes,no,Graduate
single,daytime,no,no,yes,no,male,no,no,Dropout
single,evening,no,no,no,yes,female,no,no,Graduate
single,daytime,no,no,yes,yes,female,no,no,Graduate
single,daytime,no,no,no,no,male,no,no,Dropout
single,evening,no,no,no,yes,male,no,no,Dropout
married,evening,no,no,no,yes,female,no,no,Dropout
single,evening,yes,no,no,yes,female,no,no,Graduate
single,daytime,no,no,no,yes,male,yes,no,Graduate
single,daytime,yes,no,no,yes,male,yes,no,Enrolled
single,daytime,yes,no,no,yes,male,no,no,Enrolled
single,evening,no,no,yes,yes,female,no,no,Enrolled
facto union,daytime,no,no,no,no,male,no,no,Dropout
divorced,evening,no,no,no,yes,female,no,no,Enrolled
single,daytime,no,no,no,no,male,yes,no,Enrolled
single,daytime,no,no,no,no,female,no,no,Dropout
single,daytime,no,no,yes,yes,male,no,no,Dropout
single,daytime,yes,no,yes,no,female,no,no,Dropout
married,evening,yes,no,no,no,male,no,no,Dropout
single,daytime,yes,no,yes,no,female,no,yes,Dropout
single,daytime,yes,no,yes,no,male,no,no,Dropout
single,daytime,yes,no,no,yes,female,no,yes,Graduate
married,evening,no,no,no,no,female,no,no,Dropout
facto union,daytime,no,no,no,yes,female,yes,no,Graduate
single,daytime,no,no,no,no,female,yes,no,Dropout
single,daytime,yes,no,yes,yes,female,no,no,Graduate
single,daytime,yes,no,yes,yes,male,no,no,Enrolled
single,daytime,yes,no,yes,yes,female,yes,no,Graduate
facto union,daytime,no,no,no,yes,male,no,no,Graduate
single,evening,no,no,yes,no,male,no,no,Dropout
married,evening,no,no,no,yes,male,no,no,Enrolled
single,daytime,yes,no,no,no,female,no,no,Dropout
single,daytime,yes,no,no,no,male,no,no,Dropout
single,daytime,yes,no,no,no,female,yes,no,Enrolled
