,Kidhome,Teenhome,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response 0,Response 1
0,0,0,0,0,0,0,0,No,Yes
1,0,0,0,0,0,0,1,No,
2,0,0,0,0,0,1,0,Yes,
3,0,0,0,0,1,0,0,No,No
4,0,0,0,1,0,0,0,No,No
5,0,0,0,1,0,0,1,,Yes
6,0,0,0,1,0,1,0,,Yes
7,0,0,0,1,1,0,0,No,Yes
8,0,0,0,1,1,1,0,,Yes
9,0,0,1,0,0,0,0,No,
10,0,0,1,0,0,1,0,Yes,
11,0,0,1,0,1,0,0,No,
12,0,0,1,0,1,1,0,Yes,
13,0,0,1,1,0,0,0,Yes,
14,0,0,1,1,0,1,0,Yes,
15,0,0,1,1,1,0,0,Yes,
16,0,0,1,1,1,1,0,Yes,
17,0,1,0,0,0,0,0,No,Yes
18,0,1,0,0,0,0,1,No,
19,0,1,0,0,1,0,0,No,Yes
20,0,1,0,1,0,0,0,No,
21,0,1,0,1,1,0,0,,Yes
22,0,1,1,0,0,0,0,No,
23,0,1,1,0,0,1,0,No,
24,0,1,1,0,1,0,0,Yes,
25,0,1,1,0,1,1,0,Yes,
26,0,1,1,1,0,0,0,No,
27,0,1,1,1,1,0,0,No,
28,0,1,1,1,1,1,0,Yes,
29,0,2,0,0,0,0,0,No,No
30,0,2,0,0,1,0,0,No,
31,0,2,0,1,0,1,0,,Yes
32,0,2,1,0,0,0,0,No,
33,0,2,1,1,0,0,0,Yes,
34,1,0,0,0,0,0,0,No,Yes
35,1,0,0,0,0,0,1,No,
36,1,0,0,0,1,0,0,No,
37,1,0,0,1,0,0,0,,No
38,1,0,1,0,0,0,0,Yes,
39,1,0,1,0,1,0,0,No,
40,1,0,1,1,1,0,0,Yes,
41,1,1,0,0,0,0,0,No,No
42,1,1,0,0,0,0,1,No,
43,1,1,0,0,0,1,0,,No
44,1,1,0,0,1,0,0,No,Yes
45,1,1,1,0,0,0,0,No,
46,1,1,1,1,1,0,0,No,
47,1,2,0,0,0,0,0,No,No
48,1,2,0,0,0,0,1,No,
49,1,2,1,0,0,0,0,Yes,
50,1,2,1,0,1,0,0,No,
51,1,2,1,1,0,0,0,No,
52,2,0,0,0,0,0,0,No,
53,2,0,0,0,0,0,1,,Yes
54,2,1,0,0,0,0,0,No,
55,2,1,0,0,1,0,0,No,
