,age,month_sold,structure_quality,SALE_PRC 0.0,SALE_PRC 1.0
0,0,1,2,170000.0,
1,0,1,4,319000.0,
2,0,1,5,1200000.0,
3,0,2,2,248000.0,
4,0,2,4,343900.0,
5,0,2,5,875000.0,
6,0,3,2,360000.0,195000.0
7,0,3,4,298000.0,
8,0,3,5,830000.0,
9,0,4,2,399900.0,
10,0,4,3,2100000.0,
11,0,4,4,228000.0,
12,0,4,5,1015200.0,
13,0,5,2,408600.0,
14,0,5,4,346700.0,
15,0,5,5,1315000.0,425000.0
16,0,6,2,436700.0,
17,0,6,4,473400.0,
18,0,6,5,490000.0,
19,0,7,2,453000.0,
20,0,7,4,300000.0,370000.0
21,0,7,5,650000.0,
22,0,8,2,436017.0,
23,0,8,4,268000.0,
24,0,8,5,1400000.0,
25,0,9,2,471000.0,
26,0,9,4,450000.0,
27,0,9,5,535000.0,
28,0,10,2,306000.0,
29,0,10,4,455000.0,
30,0,10,5,1195500.0,
31,0,11,2,341000.0,
32,0,11,3,2510000.0,
33,0,11,4,319600.0,
34,0,11,5,1800000.0,
35,0,12,2,310000.0,
36,0,12,4,455000.0,
37,0,12,5,660000.0,
38,1,1,2,300000.0,
39,1,1,3,2145000.0,
40,1,1,4,352900.0,
41,1,1,5,1312500.0,
42,1,2,2,239400.0,
43,1,2,4,438000.0,337000.0
44,1,2,5,1150000.0,
45,1,3,2,301000.0,
46,1,3,4,295000.0,
47,1,3,5,410000.0,
48,1,4,2,245900.0,
49,1,4,4,424000.0,
50,1,4,5,1950000.0,
51,1,5,2,366500.0,
52,1,5,4,334900.0,
53,1,5,5,1165000.0,
54,1,6,2,416800.0,
55,1,6,3,2650000.0,
56,1,6,4,424000.0,
57,1,6,5,810000.0,
58,1,7,2,330000.0,
59,1,7,4,389000.0,585000.0
60,1,7,5,2625000.0,
61,1,8,2,260000.0,
62,1,8,4,389000.0,
63,1,8,5,513000.0,
64,1,9,2,315000.0,
65,1,9,4,300000.0,
66,1,9,5,2200000.0,
67,1,10,2,230000.0,
68,1,10,4,569900.0,
69,1,11,4,310000.0,
70,1,11,5,950000.0,
71,1,12,2,324000.0,
72,1,12,4,515000.0,
73,1,12,5,1325000.0,
74,2,1,2,260000.0,
75,2,1,4,460000.0,
76,2,1,5,2450000.0,860000.0
77,2,2,2,350000.0,
78,2,2,4,305000.0,
79,2,3,2,315000.0,
80,2,3,4,420000.0,
81,2,3,5,500000.0,
82,2,4,2,260000.0,
83,2,4,4,370000.0,
84,2,4,5,385000.0,
85,2,5,2,270000.0,
86,2,5,4,370000.0,
87,2,5,5,375000.0,
88,2,6,2,249900.0,
89,2,6,4,406000.0,
90,2,6,5,1400000.0,
91,2,7,2,310000.0,
92,2,7,4,381600.0,
93,2,8,2,166000.0,
94,2,8,5,440000.0,
95,2,9,2,260000.0,
96,2,9,4,380000.0,
97,2,9,5,396000.0,
98,2,10,2,410000.0,
99,2,11,2,235400.0,
100,2,11,4,385000.0,
101,2,12,2,279900.0,
102,2,12,4,270000.0,
103,3,1,2,292000.0,
104,3,2,2,315000.0,
105,3,2,5,400000.0,
106,3,3,2,315000.0,
107,3,3,5,629000.0,
108,3,4,2,230000.0,
109,3,4,5,479400.0,
110,3,5,2,297000.0,
111,3,5,4,445000.0,
112,3,5,5,475000.0,
113,3,6,2,285000.0,
114,3,6,4,405000.0,
115,3,6,5,825000.0,
116,3,7,2,316000.0,
117,3,7,4,266500.0,
118,3,7,5,590000.0,
119,3,8,2,489500.0,
120,3,8,4,400000.0,
121,3,8,5,945000.0,
122,3,9,2,355000.0,
123,3,9,5,700000.0,
124,3,10,2,249000.0,
125,3,10,5,1100000.0,
126,3,11,2,315000.0,
127,3,11,4,405100.0,
128,3,11,5,434000.0,
129,3,12,2,337900.0,
130,3,12,4,320000.0,
131,3,12,5,550000.0,
132,4,1,2,210000.0,
133,4,1,4,525000.0,
134,4,2,2,312000.0,
135,4,2,4,360000.0,
136,4,3,2,255500.0,
137,4,3,4,310000.0,
138,4,4,2,285000.0,
139,4,4,4,420000.0,
140,4,4,5,1290000.0,
141,4,5,4,380000.0,
142,4,5,5,435000.0,
143,4,6,2,235000.0,
144,4,6,4,290000.0,
145,4,6,5,432500.0,
146,4,7,2,305000.0,
147,4,7,4,412500.0,
148,4,8,2,255000.0,
149,4,9,2,250000.0,
150,4,9,4,315000.0,
151,4,9,5,1432400.0,
152,4,10,2,246000.0,
153,4,10,4,375000.0,
154,4,10,5,460000.0,
155,4,11,2,355000.0,
